AF_ARMS_POK_CASS01_00_EXPR	カシウス
AF_ARMS_KAEDE_01_EXPR	能力:物攻・器用さ・斬撃攻撃力・光属性ユニットの全防御アップ、カエデがジョブ『結いの鬼姫』で装備するとマスターアビリティ『眠りし狂血』使用可能(被ダメージ時に自身に5ターン狂化効果（狂化状態中は致死ダメージを受けても生存&命中率・回復無効属性・CTダウン耐性・ストップ耐性大幅アップ&バフ解除可能）&クリティカル率・クリティカルダメージ大幅アップ&スキル攻撃にも発動&暴鬼状態中は使用不可（自身のHPが30%以下で発動）),『稀血の目覚め』使用可能(永続で暴鬼状態に変化（暴鬼状態中は最大HP以外の全パラメータアップ&通常攻撃が変化&アビリティが『結鬼技』『基本結鬼技』『稀血暴走』に変化（被ダメージ時に自身を中心とした範囲内の敵に2連続の反撃&確率でクリティカル発生&スキル攻撃にも発動[範囲:正方形1マス,高低差:2]））（自身のHPが30%以下で発動））
AF_ARMS_KAEDE_01_FLAVOR	人間の男性と種族の壁を越えて愛を育ん<br>だ鬼の女性が振るう刀。本来は小太刀だ<br>が、彼女の想いに応じて刀身が伸びる。<br>その形状によって、より適切な術に最適<br>化しており、使用できる術が変わる。
AF_ARMS_KAEDE_01_FILTER_KEYWORD	カエデ
AF_ACCS_SUMMER2021_01_EXPR	能力:初期ジュエル・ジュエル獲得量アップ&素早さ・最大ジュエルダウン、マスターアビリティ『夏宵の賑わい』使用可能(3ターン自身の《アルケミィクラッシュ》耐性アップ)
AF_ACCS_SUMMER2021_01_FLAVOR	エンヴィリアで開催された盆の祭りで、<br>参加者に配られた団扇。この日の為に数<br>多くの職人たちが張り切って作り上げた<br>品である。夏の暑さと未来の災いを祓え<br>るようにとの願いがこめられている。
AF_ACCS_SUMMER2021_01_FILTER_KEYWORD	夏祭り
AF_ACCS_SUMMER2021_02_EXPR	能力:命中率・全属性耐性アップ&回避率ダウン、マスターアビリティ『ひと夏の思い出』使用可能(自身のHPを割合回復)
AF_ACCS_SUMMER2021_02_FLAVOR	エンヴィリアで開催された盆の祭りの屋<br>台で売られたいか焼き。食欲をそそる香<br>りが多くの客を呼び、人気ナンバーワン<br>となった。賑やかな場所を離れ、木陰で<br>味わう人の姿も見かけられたという。
AF_ACCS_SUMMER2021_02_FILTER_KEYWORD	夏祭り
AF_ACCS_ALCHEMY_03_EXPR	能力:光属性耐性・沈黙耐性・《アルケミィオーバー》耐性アップ
AF_ACCS_ALCHEMY_03_FLAVOR	長く地下で時を経たことで変異した、特<br>殊な宝石を用いたネックレス。マギルと<br>呼ばれし力を増幅させた宝石の輝きが所<br>有者の体を包む時、アルケミィの阻害に<br>より起きる裂傷を受け難くしてくれる。
AF_ARMS_TSP_SHIZ_01_EXPR	能力:物防・魔攻・風属性特効補正アップ(★5進化時)、シズがジョブ『爆炎の支配者』のときに装備するとマスターアビリティ使用可能
AF_ARMS_TSP_SHIZ_01_FLAVOR	爆炎の支配者という二つ名を持つ英雄が<br>振るう剣。冒険者としての活動で人々を<br>守り抜いた日々や、引退後の仲間との旅<br>の思い出が多くつまっている。彼女の冒<br>険者としての時間が刻まれた品。
AF_ARMS_TSP_SHIZ_01_FILTER_KEYWORD	転スラ,転生したらスライムだった件,シズ
AF_ARMS_TSP_DIAB_01_EXPR	能力:魔攻・暗闇属性・斬撃攻撃力アップ（★5進化時）、ディアブロがジョブ『原初の黒』で装備するとマスターアビリティ使用可能
AF_ARMS_TSP_DIAB_01_FLAVOR	主への忠誠心と執着心の強い原初の悪魔<br>が身につけている爪鋏刃。彼の手によく<br>合っている品で、彼の為だけに存在する<br>という。瞬時に敵を切り裂き、主の進む<br>道をともに切り開いてきた代物。
AF_ARMS_TSP_DIAB_01_FILTER_KEYWORD	転スラ,転生したらスライムだった件,ディアブロ
AF_ARMS_KALMIA_01_EXPR	能力:物攻・単体攻撃力・沈黙耐性アップ、カルミアがジョブ『彩槍騎士』で装備するとマスターアビリティ『戦花の黎明』使用可能(HP50%以下の場合物攻大幅アップかつ素早さ・刺突攻撃力アップ)
AF_ARMS_KALMIA_01_FLAVOR	憎しみの感情を微笑みに隠すエンヴィリ<br>アの騎士が振るうランス。鋭い槍先は敵<br>との戦いで細かな傷が残っている。それ<br>は彼女がいかなる時も、民が平穏に暮ら<br>せる世を願い、戦場に立ち続けた証。
AF_ARMS_KALMIA_01_FILTER_KEYWORD	カルミア
AF_ARMS_POK_SOLOMON_01_EXPR	能力:物攻・治癒力アップ、HP消費スキルの消耗量軽減、ソロモンがジョブ『戦銃姫』で装備するとマスターアビリティ『極限値への収束』使用可能(自身のHPを消費して敵に防御無視の3連続光属性射撃攻撃&この攻撃でのかばう発動無効&5ターンクリティカル率・クリティカルダメージ大幅ダウン&発動前に対象のバフ効果を解除[射程:4(延長可),高低差:無制限])、ユグドラシルがジョブ『誓約樹神』で装備すると『「魔昇」レゾナンスキラーズ』『新たな始まり』の魔法攻撃力アップを刺突攻撃力アップに変更&『キル姫との繋がり』の魔法耐性アップを刺突耐性アップに変更
AF_ARMS_POK_SOLOMON_01_FLAVOR	鈍い光沢を放つ金属で制作された特殊な<br>ソロモンの銃砲。自身のキラーズである<br>アテナの因子が混ぜられている為、ソロ<br>モンにしか扱えない。組み込まれた青鉱<br>で強化され、凄まじい攻撃性能を誇る。
AF_ARMS_POK_SOLOMON_01_FILTER_KEYWORD	ファントムオブキル,ファンキル,ソロモン
AF_ACCS_CHRISTMAS_2021_EXPR	能力:最大ジュエル・素早さアップ、命中率大幅ダウン、マスターアビリティ『雪夜の煌めき』使用可能(マップ出現後2ターン自身のジュエル自動回復アップ（ターン経過で効果が上昇、上限2ターン）)
AF_ACCS_CHRISTMAS_2021_FLAVOR	クリスマスの日まで、いい子にしていた<br>子供たちに配られる大きな靴下。これを<br>持っていると、クリスマス限定のお菓子<br>をたくさん詰めてもらえる。子供たちを<br>笑顔にする夢いっぱいの品。
AF_ACCS_CHRISTMAS_2021_FILTER_KEYWORD	クリスマス
AF_ARMS_GT_GINT_01_EXPR	能力:物攻・素早さアップ&移動力+1（★5進化時）、坂田銀時で装備するとマスターアビリティ使用可能
AF_ARMS_GT_GINT_01_FLAVOR	普段は無気力だが、いざという時きらめ<br>く侍が振るう木刀。通販では「妖刀・星<br>砕」という商品名で販売されている。そ<br>の名に相応しく、真剣に劣らぬ強度を誇<br>るが、神楽にへし折られたこともある。
AF_ARMS_GT_GINT_01_FILTER_KEYWORD	銀魂,坂田銀時
AF_ARMS_GT_KAGU_01_EXPR	能力:物攻・火属性ユニットの全攻撃・初期ジュエルアップ（★5進化時）、神楽で装備するとマスターアビリティ使用可能
AF_ARMS_GT_KAGU_01_FLAVOR	大食いな少女が携帯している番傘。夜兎<br>族の特性で日光に弱い肌を守ってくれる<br>。それだけでなく、戦闘時には銃器とな<br>り、開けばあらゆる攻撃から身を守る盾<br>に早変わりする代物。
AF_ARMS_GT_KAGU_01_FILTER_KEYWORD	銀魂,神楽
AF_ARMS_GT_KATS_01_EXPR	能力:物攻・器用さ・雷属性ユニットの全攻撃アップ（★5進化時）、《アルケミィオーバー》を付与、桂小太郎で装備するとマスターアビリティ使用可能
AF_ARMS_GT_KATS_01_FLAVOR	反幕府勢力である攘夷党の首領が振るう<br>刀。廃刀令の世であっても、彼が手放さ<br>なかった武士の魂と言える代物である。<br>彼とともに幾戦をも乗り越え、彼の信じ<br>た道を切り開いてきた。
AF_ARMS_GT_KATS_01_FILTER_KEYWORD	銀魂,桂小太郎
AF_ARMS_GT_HIJI_01_EXPR	能力:物攻・初期ジュエル・風属性ユニットの全攻撃アップ（★5進化時）、土方十四郎で装備するとマスターアビリティ使用可能
AF_ARMS_GT_HIJI_01_FLAVOR	鬼の副長が振るう刀。千子村麻紗作で斬<br>れ味は鋭いが、呪いを宿した妖刀である<br>。彼は刀の呪いでヘタれたオタクになっ<br>たこともあるが、その呪いを克服した後<br>も使っている。
AF_ARMS_GT_HIJI_01_FILTER_KEYWORD	銀魂,土方十四郎
AF_ARMS_GT_OKIT_01_EXPR	能力:器用さアップ、射程+1、闇属性ユニットの全攻撃アップ（★5進化時）、沖田総悟で装備するとマスターアビリティ使用可能
AF_ARMS_GT_OKIT_01_FLAVOR	ドSな真選組隊士が所持しているバズー<br>カ。攘夷浪士の取り締まりで活躍すると<br>いう仕事面はもちろん、土方に奇襲をか<br>けることでも活躍している。彼の副長就<br>任までの道を支えてくれそうな代物。
AF_ARMS_GT_OKIT_01_FILTER_KEYWORD	銀魂,沖田総悟
AF_ARMO_GT_HASEBOX_EXPR	能力:物防・魔防・全状態異常耐性・《アルケミィフリーズ》耐性・《アルケミィクラッシュ》耐性アップ、銀魂コラボユニットが装備するとマスターアビリティ使用可能
AF_ARMO_GT_HASEBOX_FLAVOR	まるでダメなおっさん、略してマダオと<br>呼ばれるサングラスをかけた男性が所持<br>しているダンボール。彼の家とされる物<br>で、暑さや寒さをしのぎ、いかなる季節<br>であろうとも彼の身を守り続けた。
AF_ARMO_GT_HASEBOX_FILTER_KEYWORD	銀魂,坂田銀時,神楽,桂小太郎,土方十四郎,沖田総悟
AF_ACCS_GT_GLASSES_EXPR	能力:HP上限・物防・魔防・素早さ・《アルケミィオーバー》耐性アップ
AF_ACCS_GT_GLASSES_FLAVOR	道場の復興を目指す、万事屋銀ちゃんで<br>働く男性のメガネ。彼がかけているメガ<br>ネのはずだが、メガネが本体、人間がメ<br>ガネかけ器と言われることもある。それ<br>ほど彼のトレードマークになっているメ<br>ガネ。
AF_ACCS_GT_GLASSES_FILTER_KEYWORD	銀魂
AF_ARMS_MATHIAS_01_EXPR	能力:物攻・魔防・刺突攻撃力・斬撃攻撃力アップ、マティアがジョブ『始まりのセフィラ』で装備するとマスターアビリティ使用可能
AF_ARMS_MATHIAS_01_FLAVOR	セフィラの民の最初のひとりで武の天才<br>が振るう斧。身体を蝕むほど膨大な力を<br>秘めており、その斧に認められた者だけ<br>が触れることを許される。有史以来、意<br>のままに扱えるのは彼女だけとされる。
AF_ARMS_MATHIAS_01_FILTER_KEYWORD	マティア
AF_ACCS_SYOU2022_01_EXPR	能力:物防・魔防・物防デバフ軽減・魔防デバフ軽減アップ、装備するとマスターアビリティ使用可能
AF_ACCS_SYOU2022_01_FLAVOR	虎の被り物をしている鏡餅ラットンの置<br>物。新年に飾ることで、何があろうと挫<br>けない忍耐力を与えてくれる。その力を<br>得る代わりに、新年の祝いの席で食べ過<br>ぎるようになるという言い伝えがある。
AF_ACCS_SYOU2022_01_FILTER_KEYWORD	正月
AF_ACCS_JK_ITADORI_01_EXPR	能力:HP上限・物攻・物防・クリティカル率アップ（★5進化時）、虎杖悠仁がジョブ『宿儺の「器」』で装備するとマスターアビリティ使用可能
AF_ACCS_JK_ITADORI_01_FLAVOR	呪いの王・両面宿儺の指。全部で20本あ<br>る特級呪物。それを取り込んだ呪霊は力<br>を得るが、人間にとっては即死に至る猛<br>毒。だが、虎杖は指を取り込むも猛毒に<br>耐性があり、両面宿儺を抑え込んでいる<br>。
AF_ACCS_JK_ITADORI_01_FILTER_KEYWORD	呪術廻戦,虎杖悠仁
AF_ACCS_JK_FUSHIGURO_01_EXPR	能力:物攻・魔攻・魔防・単体攻撃耐性アップ（★5進化時）、伏黒恵がジョブ『十種影法術の使い手』で装備するとマスターアビリティ使用可能
AF_ACCS_JK_FUSHIGURO_01_FLAVOR	冷静沈着な呪術高専東京校一年が、十種<br>影法術で召喚する式神。戦闘中に破壊さ<br>れた玉犬「白」の力を継ぎ、玉犬「黒」<br>がより強力になった姿である。特級と渡<br>り合えるほどの強さを持つ。
AF_ACCS_JK_FUSHIGURO_01_FILTER_KEYWORD	呪術廻戦,伏黒恵
AF_ACCS_JK_TOUDOU_01_EXPR	能力:物攻・物防・打撃攻撃力・初期ジュエルアップ（★5進化時）、東堂葵がジョブ『不義遊戯の使い手』で装備するとマスターアビリティ使用可能
AF_ACCS_JK_TOUDOU_01_FLAVOR	呪術高専京都校三年の一級呪術師が所持<br>している、長身アイドル高田ちゃんの握<br>手券。東堂は握手会の為に東京に赴き、<br>高田ちゃんの出演番組はリアタイするほ<br>ど、彼女を熱い想いで応援している。
AF_ACCS_JK_TOUDOU_01_FILTER_KEYWORD	呪術廻戦,東堂葵
AF_ACCS_JK_KUGISAKI_01_EXPR	能力:物攻・刺突攻撃力・会心・射程アップ（★5進化時）、釘崎野薔薇がジョブ『芻霊呪法の使い手』で装備するとマスターアビリティ使用可能
AF_ACCS_JK_KUGISAKI_01_FLAVOR	地方から上京した勝気な呪術師の金槌。<br>彼女の術式である芻霊呪法で、呪力のこ<br>められた釘を打ち込む時や遠くに飛ばす<br>時に使用する。彼女とともに数々の戦い<br>を潜り抜けてきた物である。
AF_ACCS_JK_KUGISAKI_01_FILTER_KEYWORD	呪術廻戦,釘崎野薔薇
AF_ACCS_JK_GOJOU_01_EXPR	能力:HP上限・物攻・魔攻・治癒力アップ（★5進化時）、五条悟がジョブ『現代最強の呪術師』で装備するとマスターアビリティ使用可能
AF_ACCS_JK_GOJOU_01_FLAVOR	現代最強の呪術師が身につけているアイ<br>マスク。特殊な目によって呪力や呪力の<br>流れが把握できる為、目隠しをしていて<br>も高解像度のサーモグラフィーのように<br>周囲を認識することができるという。
AF_ACCS_JK_GOJOU_01_FILTER_KEYWORD	呪術廻戦,五条悟
AF_ACCS_MULTI_COLLABO_01_EXPR	能力:HP上限・初期ジュエル・補助行動禁止耐性アップ、マスターアビリティ使用可能
AF_ACCS_MULTI_COLLABO_01_FLAVOR	仲間とともに試練を乗り越えてきた錬金<br>術師に授けられるブローチ。飾りの石は<br>アルケミィを豊富に含み、所持者に心身<br>を癒す場を構築する力を与える。その力<br>は皆を落ち着かせ、戦いを有利に運ぶ。
AF_ACCS_MULTI_COLLABO_01_FILTER_KEYWORD	呪術廻戦
AF_ACCS_MULTI_COLLABO_02_EXPR	能力:物攻・魔攻・沈黙耐性アップ、マスターアビリティ使用可能
AF_ACCS_MULTI_COLLABO_02_FLAVOR	仲間とともに試練を乗り越えてきた錬金<br>術師に授けられるブローチ。飾りの石は<br>アルケミィを豊富に含み、所持者に仲間<br>を救う力を与える。その力は窮地を脱す<br>る手となり、勝利に導く一助となる。
AF_ACCS_MULTI_COLLABO_02_FILTER_KEYWORD	呪術廻戦
AF_ACCS_2022_VALENTINE_01_EXPR	能力:治癒力・男性特効補正・魅了属性アップ、女性ユニットが装備するとマスターアビリティ使用可能
AF_ACCS_2022_VALENTINE_01_FLAVOR	様々な種類のチョコレートと、人々の笑<br>顔を願う気持ちが詰まっているギフト。<br>受け取った人を笑顔にするが、中には喜<br>びのあまり興奮して暴走する人もいるの<br>で、渡すタイミングには要注意。
AF_ACCS_2022_VALENTINE_01_FILTER_KEYWORD	バレンタイン
AF_ARMS_ALMILA_LINK_01_EXPR	能力:物攻・射撃回避率・攻撃禁止耐性アップ、アルミラver．決戦礼装で装備するとマスターアビリティ使用可能
AF_ARMS_ALMILA_LINK_01_FLAVOR	霊鹿アクリスを宿すサガのハンターが振<br>るう槍。霊鹿アクリスとの繋がりによっ<br>て、乱れた循環から生まれた歪みを断ち<br>斬る力を持つ。サガの地をともに守り、<br>ともに生きる約束を果たす為の品。
AF_ARMS_ALMILA_LINK_01_FILTER_KEYWORD	アルミラ,決戦礼装
AF_ACCS_2022_WHITEDAY_01_EXPR	能力:対女性防御補正・魅了耐性・刺突回避率アップ、男性ユニットが装備するとマスターアビリティ使用可能
AF_ACCS_2022_WHITEDAY_01_FLAVOR	ホワイトデーに想い人へ贈るキャンディ<br>の入った瓶。贈る対象に幸せな時間をも<br>たらしたいという贈り主の愛がこめられ<br>ている。その愛の強さにより、受け取っ<br>た者はその恩恵を享受できるという。
AF_ACCS_2022_WHITEDAY_01_FILTER_KEYWORD	ホワイトデー
AF_ARMS_TANBA_01_EXPR	能力:物攻・物防・素早さアップ、タンバがジョブ『稀血の王鬼』で装備するとマスターアビリティ使用可能
AF_ARMS_TANBA_01_FLAVOR	鬼の力と人間の力を持ち合わせた“稀血<br>種”の鬼の男性が振るう刀。彼の中にあ<br>る人としての力であるチャクラと相性が<br>良く、鬼としての力を合わせて使うこと<br>で、鬼の王になり得る力を発揮できる。
AF_ARMS_TANBA_01_FILTER_KEYWORD	タンバ
AF_ACCS_APRILFOOL_2022_01_EXPR	能力:HP上限・物防・魔防・対魔人防御補正アップ、物攻・魔攻ダウン、マスターアビリティ使用可能
AF_ACCS_APRILFOOL_2022_01_FLAVOR	聖教騎士団員が身につける装備で、入団<br>が決まった聖教騎士に配られる。これを<br>着用した新人の聖教騎士は、大陸の正義<br>を守るという新生活の始まりを実感し、<br>より一層高い意識を持つようになる。
AF_ACCS_APRILFOOL_2022_01_FILTER_KEYWORD	エイプリルフール
AF_ACCS_ALCHEMY_04_EXPR	能力:運・暗闇耐性・《アルケミィダウン》耐性アップ
AF_ACCS_ALCHEMY_04_FLAVOR	長く地下で時を経たことで変異した、特<br>殊な宝石を用いたネックレス。マギルと<br>呼ばれし力を研磨した宝石の輝きが所有<br>者の体を包む時、その身には魔力を奪う<br>魔法に対しての防壁が築かれる。
AF_ACCS_MENBEI_01_EXPR	能力:素早さ・移動禁止耐性・治癒力アップ、マスターアビリティ使用可能
AF_ACCS_MENBEI_01_FLAVOR	福太郎の代名詞ともなった、明太子のせ<br>んべい「めんべい」をモチーフとしたス<br>トラップ。これを手にした者は、めんべ<br>いに込められた愛を受け取り、いかなる<br>苦境をも乗り越える力が湧く。
AF_ARMS_ZANGETSU_LINK_01_EXPR	能力:物攻・初期ジュエルアップ、回避率ダウン、ザンゲツver．決戦礼装がジョブ『孤光の覇王』で装備するとマスターアビリティ使用可能
AF_ARMS_ZANGETSU_LINK_01_FLAVOR	強きワダツミの再興を志す武人の杖。秘<br>術を自在に操る独自の技を使う際に、彼<br>のチャクラを極限まで引き上げる力を持<br>つ。守るべきを守る為にその力を使った<br>後はふたつの杖として鍛え上げられた。
AF_ARMS_ZANGETSU_LINK_01_FILTER_KEYWORD	ザンゲツ,決戦礼装
AF_ACCS_DUNG_HARU_01_EXPR	能力:魔攻・素早さ・魅了属性アップ、サンジョウノ・春姫で装備するとマスターアビリティ使用可能
AF_ACCS_DUNG_HARU_01_FLAVOR	英雄譚を愛する狐人の少女の魔法陣。仲<br>間を支えることで、戦いを勝利に導く為<br>の魔法を発動させる際に出現するものと<br>される。その魔法陣は周囲の人々を勇気<br>づけるほど、眩い輝きを放つ。
AF_ACCS_DUNG_HARU_01_FILTER_KEYWORD	ダンまち,ダンジョンに出会いを求めるのは間違っているだろうか,サンジョウノ・春姫
AF_ARMS_DUNG_RYU_01_EXPR	能力:魔攻・打撃攻撃力・魔法攻撃力アップ、リュー・リオンがジョブ『疾風』で装備するとマスターアビリティ使用可能
AF_ARMS_DUNG_RYU_01_FLAVOR	元凄腕の冒険者で、豊穣の女主人で働く<br>エルフが携帯している木刀。特殊な樹木<br>を使用して制作された物で、高い攻撃力<br>と耐久性を誇る。彼女とともに数多の戦<br>いを潜り抜け、活躍してきた品。
AF_ARMS_DUNG_RYU_01_FILTER_KEYWORD	ダンまち,ダンジョンに出会いを求めるのは間違っているだろうか,リュー・リオン
AF_ARMS_LYCORIS_01_EXPR	能力:魔攻・器用さ・スタン耐性アップ、リコリスがジョブ『魔導砲師』で装備するとマスターアビリティ使用可能
AF_ARMS_LYCORIS_01_FLAVOR	スロウスシュタインの中央技術局の副長<br>が開発した大砲。魔導工学の英知を結集<br>させたもので、絶大な威力を誇る。ただ<br>し、複雑な魔導工学の術式が使われてい<br>る為、彼女だけが使いこなせる代物。
AF_ARMS_LYCORIS_01_FILTER_KEYWORD	リコリス
AF_ARMS_ANNEROSE_LINK_01_EXPR	能力:魔攻、沈黙耐性アップ&消費ジュエル軽減、アンネローズver．決戦礼装がジョブ『魔法機工師』で装備するとマスターアビリティ使用可能
AF_ARMS_ANNEROSE_LINK_01_FLAVOR	魔導工学と魔法学に才を持つ研究者の魔<br>導装置。研究の副産物で生まれたものだ<br>が、力を格納して増幅させることができ<br>る。魔法と魔導の力を同時に活用できる<br>よう、仲間との協力で改良されている。
AF_ARMS_ANNEROSE_LINK_01_FILTER_KEYWORD	アンネローズ,決戦礼装
AF_ACCS_POK_ARUMASU_02_EXPR	能力:素早さ・水属性ユニットの全攻撃・単体攻撃耐性・斬撃耐性アップ、アルマスもしくはジョブ『大陸の観測者』で装備するとマスターアビリティ使用可能
AF_ACCS_POK_ARUMASU_02_FLAVOR	妖精ティターニアと妖精結合した斬ル姫<br>が身につけているグローブ。仲間の為な<br>らば自己犠牲を厭わずに戦う彼女の手を<br>守り抜いてくれる。ロストラグナロクに<br>終焉をもたらす戦いを支えてくれる品。
AF_ACCS_POK_ARUMASU_02_FILTER_KEYWORD	ファントムオブキル,ファンキル,アルマス
AF_ARMS_POK_GRAN_01_EXPR	能力:魔防・素早さ・刺突攻撃力アップ、グランテピエがジョブ『ゲートルーラー』で装備するとマスターアビリティ使用可能、ユグドラシルがジョブ『誓約樹神』で装備すると『「魔昇」レゾナンスキラーズ』『新たな始まり』の魔法攻撃力アップを刺突攻撃力アップに変更&『キル姫との繋がり』の魔法耐性アップを刺突耐性アップに変更
AF_ARMS_POK_GRAN_01_FLAVOR	終焉の運命に抗い、理を破る為に作製さ<br>れた特別な槍。グランテピエのキラーズ<br>の力を最大限活かす為に作られている。<br>獣刻されたバハムートの力との相乗効果<br>による力は道を切り開くに相応しい。
AF_ARMS_POK_GRAN_01_FILTER_KEYWORD	ファントムオブキル,ファンキル,グランテピエ
AF_ACCS_WEATHER_01_EXPR	能力:HP上限・初期ジュエル・石化耐性・沈黙耐性アップ、マスターアビリティ使用可能
AF_ACCS_WEATHER_01_FLAVOR	次代の担い手となる人種を思う竜種が、<br>種族間の力量差を埋める為に作り上げた<br>とされる。紫色の宝石には莫大なマギル<br>が眠り、創り出された竜界に干渉して打<br>ち消す特殊な術式の実現を可能とする。
AF_ACCS_SUMMER2022_01_EXPR	能力:HP上限・打撃耐性・暗闇耐性アップ、マスターアビリティ使用可能
AF_ACCS_SUMMER2022_01_FLAVOR	とあるビーチで人気のブレスレット。賑<br>やかなビーチで、人混みを避けて休憩で<br>きる場所を見つけ出す魔法がかけられて<br>いる。ビーチで存分に遊ぶ為の力を再度<br>蓄える時間を生み出してくれる品。
AF_ACCS_SUMMER2022_01_FILTER_KEYWORD	水着
AF_ARMS_ESTELA_01_EXPR	能力:魔攻・命中率・攻撃禁止耐性アップ、エステラが装備すると『秘読技』およびアクセサリーの『魔札』マスターアビリティに追撃が発動
AF_ARMS_ESTELA_01_FLAVOR	ノーザンブライドの高名な占い師が所持<br>しているカード。襲撃者から身を護る為<br>の特殊な魔法がかけられている。魔法の<br>威力を向上させる効力を持ち、敵陣を打<br>ち破る一手を支える力となる。
AF_ARMS_ESTELA_01_FILTER_KEYWORD	エステラ
AF_ARMS_ESTELA_02_EXPR	能力:魔攻・ジュエル自動回復・素早さアップ、エステラが装備すると『秘読技』およびアクセサリーの『魔札』マスターアビリティに追撃が発動
AF_ARMS_ESTELA_02_FLAVOR	ノーザンブライドの高名な占い師が所持<br>しているカード。襲撃者から身を護る為<br>の特殊な魔法がかけられている。自身の<br>魔力を瞬時に向上させる効力を持ち、敵<br>を一気に殲滅させる力となる。
AF_ARMS_ESTELA_02_FILTER_KEYWORD	エステラ
AF_ARMS_ESTELA_03_EXPR	能力:魔攻・射撃耐性・魔法耐性アップ、エステラが装備すると『秘読技』およびアクセサリーの『魔札』マスターアビリティに追撃が発動
AF_ARMS_ESTELA_03_FLAVOR	ノーザンブライドの高名な占い師が所持<br>しているカード。襲撃者から身を護る為<br>の特殊な魔法がかけられている。敵から<br>の攻撃を防ぐ盾を生み出し、自身の体勢<br>を整え、劣勢を覆す時間を生み出す。
AF_ARMS_ESTELA_03_FILTER_KEYWORD	エステラ
AF_ARMO_ESTELA_01_EXPR	能力:HP上限・斬撃耐性・補助行動禁止耐性アップ、エステラが装備すると『陥札レシストー』に追加行動で『会札ファクルタース』が発動（追加行動で1ターン自身のクリティカル率・クリティカルダメージアップ）
AF_ARMO_ESTELA_01_FLAVOR	ノーザンブライドの高名な占い師が所持<br>しているカード。襲撃者から身を護る為<br>の特殊な魔法がかけられている。攻めの<br>一手を極限まで上昇させる効力を持ち、<br>敵を一撃で追い込む技を支えてくれる。
AF_ARMO_ESTELA_01_FILTER_KEYWORD	エステラ
AF_ARMO_ESTELA_02_EXPR	能力:HP上限・刺突耐性・雷属性耐性アップ、エステラが装備すると『陥札レシストー』に追撃で『反札デポルターレ』が発動（追撃で敵に魔法攻撃&1ターン自身の詠唱時間大幅短縮）
AF_ARMO_ESTELA_02_FLAVOR	ノーザンブライドの高名な占い師が所持<br>しているカード。襲撃者から身を護る為<br>の特殊な魔法がかけられている。敵が有<br>利な時に自身の能力を上昇させる効力を<br>持ち、戦況を変える際の切り札となる。
AF_ARMO_ESTELA_02_FILTER_KEYWORD	エステラ
AF_ARMO_ESTELA_03_EXPR	能力:HP上限・火属性耐性・水属性耐性・風属性耐性アップ、エステラが装備すると『陥札レシストー』に追加行動で『宝札カピレ』が発動（追加行動で自身のHPを回復&3ターンジュエル自動回復アップ（3回まで重複可））
AF_ARMO_ESTELA_03_FLAVOR	ノーザンブライドの高名な占い師が所持<br>しているカード。襲撃者から身を護る為<br>の特殊な魔法がかけられている。自身の<br>魔力を瞬時に向上させ、敵を打ち破る為<br>の魔法を連続で使用する力を授ける。
AF_ARMO_ESTELA_03_FILTER_KEYWORD	エステラ
AF_ACCS_ESTELA_01_EXPR	能力:素早さ・最大ジュエル・魅了耐性アップ&射撃耐性ダウン、エステラが装備するとマスターアビリティ使用可能
AF_ACCS_ESTELA_01_FLAVOR	ノーザンブライドの高名な占い師が所持<br>しているカード。襲撃者から身を護る為<br>の特殊な魔法がかけられている。敵の撃<br>破数に応じて、魔力を上昇させる効力を<br>持ち、妨害する者を撃破する力となる。
AF_ACCS_ESTELA_01_FILTER_KEYWORD	エステラ
AF_ACCS_ESTELA_02_EXPR	能力:HP上限・魔法攻撃力・ストップ耐性アップ&毒耐性ダウン、エステラが装備するとマスターアビリティ使用可能
AF_ACCS_ESTELA_02_FLAVOR	ノーザンブライドの高名な占い師が所持<br>しているカード。襲撃者から身を護る為<br>の特殊な魔法がかけられている。敵の俊<br>敏性を低下させる効力を持ち、翻弄して<br>くる相手を瞬時に追い詰める力となる。
AF_ACCS_ESTELA_02_FILTER_KEYWORD	エステラ
AF_ACCS_ESTELA_03_EXPR	能力:最大ジュエル・魔防・致死ダメージを受けても生存する確率アップ&クリティカル率ダウン、エステラが装備するとマスターアビリティ使用可能
AF_ACCS_ESTELA_03_FLAVOR	ノーザンブライドの高名な占い師が所持<br>しているカード。襲撃者から身を護る為<br>の特殊な魔法がかけられている。治癒力<br>を促進することで負傷を回復させ、敵を<br>返り討ちにする為の切り札となる。
AF_ACCS_ESTELA_03_FILTER_KEYWORD	エステラ
AF_ARMS_MT3_THOR_01_EXPR	能力:物攻・クリティカル率・初期ジュエルアップ、トールが装備するとマスターアビリティ使用可能
AF_ARMS_MT3_THOR_01_FLAVOR	北欧神話の雷神にして豊穣神が所持して<br>いる鉄槌。
AF_ARMS_MT3_THOR_01_FILTER_KEYWORD	メガテン3,真・女神転生3,真3HD,トール
AF_ACCS_MT3_TRUMPETER_01_EXPR	能力:最大ジュエル・魔攻・攻撃禁止耐性アップ、トランペッターが装備するとマスターアビリティ使用可能
AF_ACCS_MT3_TRUMPETER_01_FLAVOR	ヨハネの黙示録に予言されるラッパを持<br>つ神の遣いが所持しているラッパ。
AF_ACCS_MT3_TRUMPETER_01_FILTER_KEYWORD	メガテン3,真・女神転生3,真3HD,トランペッター
