IT_US_FATE_TAIYAKI_EXPR	3ターンの間、クロックアップ状態にする
IT_AF_ARMS_GORMALAS_01_EXPR	777個集めると「キールズサーベル」を生成することが出来るアイテム
IT_AF_ACCS_SHENMEI_01_EXPR	777個集めると「大海原の財宝」を生成することが出来るアイテム
IT_AF_ACCS_BELTA_02_EXPR	777個集めると「夏音ビーチボール」を生成することが出来るアイテム
IT_AF_ACCS_ZYVA_01_EXPR	777個集めると「絢爛な煌き」を生成することが出来るアイテム
IT_AF_ACCS_DREI_01_EXPR	777個集めると「イリーガルジェイル」を生成することが出来るアイテム
IT_AF_ARMS_HAZEL_01_EXPR	777個集めると「ガジェットランチャー」を生成することが出来るアイテム
IT_AF_ACCS_EVERICA_01_EXPR	777個集めると「ユーティリティポーチ」を生成することが出来るアイテム
IT_AF_ACCS_TAMAMO_02_EXPR	777個集めると「白兎のお月見団子」を生成することが出来るアイテム (錬成上限数:3)
IT_AF_ACCS_TS_ELIZABTH_01_EXPR	777個集めると「エリザベスのピアス」を生成することが出来るアイテム
IT_AF_ACCS_TS_04_EXPR	777個集めると「バーニャエール」を生成することが出来るアイテム
IT_AF_ARMS_TS_ESCANOR_01_EXPR	50個集めると「神斧リッタ」を生成することが出来るアイテム
IT_AF_ARMS_ST_MELA_DARK_01_EXPR	777個集めると「堕刻カイロススフィア」を生成することが出来るアイテム
IT_AF_ARMS_ROSA_01_EXPR	777個集めると「ブラッドデスサイズ」を生成することが出来るアイテム
IT_AF_ARMO_CHERYL_01_EXPR	777個集めると「スプーキーブーティ」を生成することが出来るアイテム
IT_AF_ACCS_HALLOWEEN_2019_EXPR	50個集めると「ハロウィンバスケット」を生成することが出来るアイテム
IT_AF_ARMS_ST_NIKUSU_DARK_01_EXPR	777個集めると「堕刻クロノススフィア」を生成することが出来るアイテム
IT_AF_ACCS_POK_TIFARET_01_EXPR	777個集めると「聖天花冠」を生成することが出来るアイテム
IT_AF_ARMS_ADOREI_01_EXPR	777個集めると「マキナセスタス」を生成することが出来るアイテム
IT_AF_ARMO_GERALD_01_EXPR	777個集めると「受け継がれし肩当」を生成することが出来るアイテム
IT_AF_ACCS_NATALIE_01_EXPR	777個集めると「ケミカルインジェクター」を生成することが出来るアイテム
IT_AF_ACCS_POK_FAILNAUGHT_01_EXPR	777個集めると「魔王ドール」を生成することが出来るアイテム
IT_AF_ACCS_POK_CASSIUS_01_EXPR	777個集めると「悠久の髪留め」を生成することが出来るアイテム
IT_AF_ARMS_GUILDFORD_01_EXPR	777個集めると「パニッシュブレイド」を生成することが出来るアイテム(錬成上限数:1)
IT_AF_ARMS_IKONA_01_EXPR	777個集めると「ヴァリアブルグローブ」を生成することが出来るアイテム
IT_AF_ARMS_MINARIO_01_EXPR	777個集めると「アルスハンドガン」を生成することが出来るアイテム
IT_AF_ARMO_LAVINA_01_EXPR	777個集めると「雪明かりのマフラー」を生成することが出来るアイテム
IT_AF_ACCS_NINA_02_EXPR	777個集めると「ジングルベルリボン」を生成することが出来るアイテム
IT_AF_ACCS_LOTIA_01_EXPR	777個集めると「トナカイカチューシャ」を生成することができるアイテム(錬成上限数:3)
IT_AF_ACCS_BUTTON_01_EXPR	150個集めると「レーベカフス」を生成することが出来るアイテム
IT_AF_ARMO_SUM_SHIELD_01_EXPR	150個集めると「グラネシールド」を生成することが出来るアイテム
IT_AF_ARMS_SUM_KATANA_01_EXPR	150個集めると「蒼迅刀・一角」を生成することが出来るアイテム
IT_ACCS_ALCHEMONO_01_EXPR	777個集めると「記念着ぐるみフィオナ」を生成することが出来るアイテム
IT_AF_ACCS_IKASA_01_EXPR	777個集めると「紫雲のリボン」を生成することが出来るアイテム
IT_AF_ARMO_FURY_01_EXPR	777個集めると「朱彩の羽織」を生成することが出来るアイテム
IT_AF_ACCS_BASINI_01_EXPR	777個集めると「瑞祥のマフラー」を生成することが出来るアイテム
IT_AF_ACCS_TSP_01_EXPR	777個集めると「スライムのぬいぐるみ」を生成することが出来るアイテム
IT_AF_ACCS_TSP_02_EXPR	777個集めると「スライムのネックレス」を生成することが出来るアイテム
IT_AF_ACCS_SYOU2020_01_EXPR	777個集めると「鏡餅ラットン」を生成することが出来るアイテム
IT_AF_ARMO_EMA_01_EXPR	777個集めると「迎春の晴れ着」を生成することが出来るアイテム
IT_AF_ARMS_EMMEL_01_EXPR	777個集めると「セフィロンの聖杖」を生成することが出来るアイテム
IT_AF_ACCS_SANDAISEI_01_EXPR	777個集めると「三大精の酒壺」を生成することが出来るアイテム
IT_AF_ACCS_TAMISU_01_EXPR	777個集めると「邪断の目隠し」を生成することが出来るアイテム
IT_AF_ACCS_EINZ_01_EXPR	777個集めると「先駆者の十字架」を生成することが出来るアイテム
IT_ACCS_THOL_03_EXPR	777個集めると「真理新書「戒律ノ篇」」を生成することが出来るアイテム
IT_AF_ACCS_CADA_02_EXPR	777個集めると「焔の竜駒」を生成することが出来るアイテム
IT_AF_ACCS_LEAFA_01_EXPR	777個集めると「チョコ月餅」を生成することが出来るアイテム
IT_AF_ACCS_POK_RISANAUT_01_EXPR	777個集めると「ディスラプターズ人形」を生成することが出来るアイテム
IT_ARMO_EULALIA_01_EXPR	777個集めると「森霊の聖衣」を生成することが出来るアイテム
IT_AF_ACCS_MALTA_01_EXPR	777個集めると「旅路の聖環」を生成することが出来るアイテム(錬成上限数:1)
IT_AF_ACCS_REIMEI_01_EXPR	777個集めると「黎明の腰結」を生成することが出来るアイテム
IT_AF_ARMO_ANKH_01_EXPR	777個集めると「バトラージャケット」を生成することが出来るアイテム
IT_ACCS_PLUMERIA_01_EXPR	777個集めると「花マルベレー」を生成することが出来るアイテム(錬成上限数:3)
IT_AF_ACCS_APRILFOOL_2020_EXPR	777個集めると「たがため学園生徒手帳」を生成することが出来るアイテム(錬成上限数:1)
IT_AF_ACCS_APRILFOOL_2020_02_EXPR	80個集めると「たがため学園ノート」を生成することが出来るアイテム(錬成上限数:3)
IT_ACCS_JUURIA_DARK_01_EXPR	777個集めると「蹂躙の罪冠」を生成することが出来るアイテム
IT_ARMO_NERO_01_EXPR	777個集めると「蜃気楼の影装」を生成することが出来るアイテム
IT_AF_ACCS_TS_05_EXPR	777個集めると「呪言の玉」を生成することが出来るアイテム
IT_AF_ACCS_SUM_BOX_01_EXPR	150個集めると「戦魔の宙箱」を生成することが出来るアイテム
IT_ACCS_SB_ORANGE_BALLOON_01_EXPR	777個集めると「オレンジバルーン」を生成することが出来るアイテム(錬成上限数:3)
IT_ACCS_20200501CP_MASK_01_EXPR	777個集めると「アルベルノマスク」を生成することが出来るアイテム
IT_AF_ARMS_SPICA_01_EXPR	777個集めると「流星斧『蒼胡蝶』」を生成することが出来るアイテム
IT_AF_ARMS_NIGURU_01_EXPR	777個集めると「宵影の葬送刃」を生成することが出来るアイテム
IT_AF_ACCS_ZAHAR_01_EXPR	777個集めると「黒星玉」を生成することが出来るアイテム
IT_AF_ACCS_SB_01_EXPR	777個集めると「翡翠のブレスレット」を生成することが出来るアイテム
IT_AF_ACCS_SB_02_EXPR	777個集めると「琥珀のヘアピン」を生成することが出来るアイテム
IT_AF_ACCS_RACHEL_01_EXPR	777個集めると「モノクロサンダル」を生成することが出来るアイテム
IT_AF_ACCS_GLANZ_01_EXPR	777個集めると「癒しのお風呂セット」を生成することが出来るアイテム
IT_AF_ACCS_CANON_01_EXPR	777個集めると「ロードマスターの手記」を生成することが出来るアイテム
IT_AF_ACCS_AINANNA_01_EXPR	777個集めると「精華の花飾り」を生成することが出来るアイテム
IT_AF_ARMO_VIER_02_EXPR	777個集めると「清香のショール」を生成することが出来るアイテム
IT_AF_ACCS_POK_BLACK_01_EXPR	777個集めると「黒奏の真書」を生成することが出来るアイテム
IT_AF_ARMO_LUCILLE_01_EXPR	777個集めると「白煌ドレス」を生成することが出来るアイテム
IT_AF_ACCS_ACCS_YUEN_01_EXPR	777個集めると「策士の腰帯」を生成することが出来るアイテム
IT_AF_ARMO_YAULAS_01_EXPR	777個集めると「双華の肩甲」を生成することが出来るアイテム
IT_AF_ACCS_TANABATA_2020_EXPR	777個集めると「七夕の笹飾り」を生成することが出来るアイテム
IT_AF_ACCS_ENVYRIA_DAPHNE_01_EXPR	777個集めると「盾乙女の髪飾り」を生成することが出来るアイテム
IT_AF_ARMO_ST_MELA_01_EXPR	777個集めると「夏色ビキニ」を生成することが出来るアイテム
IT_AF_ARMO_SUZUKA_01_EXPR	777個集めると「桜花ビキニ」を生成することが出来るアイテム
IT_AF_ACCS_NOAH_01_EXPR	777個集めると「白渚の花飾り」を生成することが出来るアイテム(錬成上限数:3)
IT_AF_ACCS_ALBELL_01_EXPR	777個集めると「白水牛の櫛」を生成することが出来るアイテム
IT_AF_ACCS_OTHIMA_02_EXPR	777個集めると「蒼氷智将のマフラー」を生成することが出来るアイテム
IT_AF_ARMS_NICAEA_01_EXPR	777個集めると「サラーキアランス」を生成することが出来るアイテム
IT_AF_ACCS_ZWEI_02_EXPR	777個集めると「夏影サンダル」を生成することが出来るアイテム
IT_AF_ARMO_AOT_01_EXPR	777個集めると「調査兵団のマント」を生成することが出来るアイテム
IT_AF_ACCS_YUDIT_01_EXPR	777個集めると「兎型メカ「ラビボ」」を生成することが出来るアイテム
IT_AF_ARMO_BUD_01_EXPR	777個集めると「蒼煌の外套」を生成することが出来るアイテム
IT_AF_ACCS_MONZOTM_03_EXPR	777個集めると「戦雷のベルト」を生成することが出来るアイテム
IT_AF_TAGATAMEMOVIE_DVD_01_EXPR	777個集めると「パタのぬいぐるみ」を生成することが出来るアイテム
IT_AF_ACCS_NAZHU_01_EXPR	777個集めると「初志のイヤリング」を生成することが出来るアイテム
IT_AF_ACCS_ZENN_01_EXPR	777個集めると「忘れ草の手套」を生成することが出来るアイテム
IT_AF_ARMS_NAJU_01_EXPR	80個集めると「双鋭刃アインザム」を生成することが出来るアイテム
IT_AF_ACCS_VETT_EVENT_01_EXPR	80個集めると「アンティークブローチ」を生成することが出来るアイテム
IT_AF_ARMO_VETTEL_01_EXPR	777個集めると「焔陽の盾」を生成することが出来るアイテム
IT_AF_ACCS_CLOE_02_EXPR	777個集めると「近衛隊の徽章」を生成することが出来るアイテム
IT_AF_ACCS_RE0_01_EXPR	777個集めると「エミリアの髪飾り」を生成することが出来るアイテム
IT_AF_ACCS_ZAYIN_01_EXPR	777個集めると「導光のベルト」を生成することが出来るアイテム
IT_AF_ACCS_RYUI_01_EXPR	777個集めると「魔導球の髪飾り」を生成することが出来るアイテム
IT_AF_ARMS_MAGNUS_01_EXPR	777個集めると「バーストシューター」を生成することが出来るアイテム
IT_AF_ACCS_WILHELM_01_EXPR	777個集めると「ディセイブハット」を生成することが出来るアイテム
IT_AF_ACCS_RE0_02_EXPR	777個集めると「レムの髪飾り」を生成することが出来るアイテム
IT_AF_ACCS_RE0_03_EXPR	777個集めると「ラムの髪飾り」を生成することが出来るアイテム
IT_AF_ACCS_BUTAI_SION_01_EXPR	777個集めると「約束の書庫鍵」を生成することが出来るアイテム
IT_AF_ACCS_JUURIA_02_EXPR	777個集めると「パンプキンバスケットの欠片」を生成することが出来るアイテム
IT_AF_ACCS_BLANCHETT_01_EXPR	777個集めると「トリックシューズ」を生成することが出来るアイテム
IT_AF_ARMS_RAMESES_01_EXPR	777個集めると「セクメトランス」を生成することが出来るアイテム(錬成上限数:3)
IT_AF_ACCS_KAGURA_02_EXPR	777個集めると「朱凰の帯飾り」を生成することが出来るアイテム
IT_AF_ACCS_POK_ANCIENT_01_EXPR	777個集めると「エンシェントサイン」を生成することが出来るアイテム
IT_AF_ACCS_ANDECHS_01_EXPR	777個集めると「義天の長靴」を生成することが出来るアイテム
IT_AF_ACCS_LEYCHEL_01_EXPR	777個集めると「ポスタルバッグ」を生成することが出来るアイテム
IT_AF_ARMS_LEYCHEL_01_EXPR	80個集めると「ウィッチグラブ」を生成することが出来るアイテム
IT_AF_ARMS_EVE_01_EXPR	777個集めると「マリッジエスパーダ」を生成することが出来るアイテム
IT_AF_ACCS_KUDHANSTEIN_03_EXPR	777個集めると「闇光のバックル」を生成することが出来るアイテム
IT_AF_ARMS_QENS_01_EXPR	777個集めると「ズルワーンスフィア」を生成することが出来るアイテム
IT_AF_ACCS_SURUBA_01_EXPR	777個集めると「暗赤のポーチ」を生成することが出来るアイテム
IT_AF_ACCS_IKONA_01_EXPR	777個集めると「聖花のカチューシャ」を生成することが出来るアイテム
IT_AF_ARMS_ISHUNA_01_EXPR	777個集めると「一角獣の刃」を生成することが出来るアイテム
IT_AF_ACCS_CHRISTMAS_2020_EXPR	「聖夜のお届け物」を進化することが出来るアイテム※欠片を集めて錬成することはできません。
IT_AF_ACCS_KAYA_03_EXPR	777個集めると「罪獣の記録」を生成することが出来るアイテム
IT_AF_ACCS_KOF_01_EXPR	777個集めると「KOFキーホルダー」を生成することが出来るアイテム
IT_AF_ACCS_KOF_02_EXPR	777個集めると「KOFリストバンド」を生成することが出来るアイテム
IT_AF_ARMO_ACHAD_01_EXPR	777個集めると「白月の戦麗装」を生成することが出来るアイテム
IT_AF_ARMS_MARE_01_EXPR	777個集めると「夜夢杖」を生成することが出来るアイテム
IT_AF_ACCS_ZEX_01_EXPR	777個集めると「不神の戦靴」を生成することが出来るアイテム
IT_AF_ACCS_YOMI_01_EXPR	777個集めると「迎春の番傘」を生成することが出来るアイテム
IT_AF_ARMS_UGACHI_01_EXPR	777個集めると「鬼葬刀」を生成することが出来るアイテム
IT_AF_ARMS_CELES_01_EXPR	777個集めると「鬼討刃」を生成することが出来るアイテム
IT_AF_ARMS_TANOSUKE_01_EXPR	777個集めると「鬼鎮刀」を生成することが出来るアイテム
IT_AF_ACCS_THOL_04_EXPR	777個集めると「太陽のストール」を生成することが出来るアイテム
IT_AF_ACCS_BIANCA_01_EXPR	777個集めると「鬼討刃」を生成することが出来るアイテム
IT_AF_ACCS_NIMURU_01_EXPR	777個集めると「革命の円環」を生成することが出来るアイテム
IT_AF_ACCS_LOGI_01_EXPR	777個集めると「セレモニーグローブ」を生成することが出来るアイテム
IT_AF_ACCS_ELIZABETH_01_EXPR	777個集めると「試験薬チョコ」を生成することが出来るアイテム
IT_AF_ACCS_CHALICE_01_EXPR	777個集めると「高速機動兵の腕章」を生成することが出来るアイテム
IT_AF_ACCS_MARGARET_01_EXPR	777個集めると「ラブリーマフラー」を生成することが出来るアイテム
IT_AF_ACCS_POK_RAGNAROK_01_EXPR	777個集めると「零の戦冠」を生成することが出来るアイテム
IT_AF_ACCS_MT3_02_EXPR	777個集めると「ジャアクスプーン」を生成することが出来るアイテム
IT_AF_ACCS_BENIKA_01_EXPR	777個集めると「アヴァリの護り」を生成することが出来るアイテム
IT_AF_ACCS_RAID_08_EXPR	777個集めると「デビルリング」を生成することが出来るアイテム
IT_AF_ARMS_KURT_01_EXPR	777個集めると「双閃一文字」を生成することが出来るアイテム
IT_AF_ARMO_IZAYOI_01_EXPR	777個集めると「十六夜装束」を生成することが出来るアイテム
IT_AF_ARMS_KUBERA_01_EXPR	777個集めると「無双剛剣」を生成することが出来るアイテム
IT_AF_ACCS_RAKINA_01_EXPR	777個集めると「約束の華飾」を生成することが出来るアイテム
IT_AF_ACCS_REN_01_EXPR	777個集めると「優しき記憶の髪留め」を生成することが出来るアイテム
IT_AF_ACCS_THREE_NOBLES_01_EXPR	777個集めると「ラーストリス将軍徽章」を生成することが出来るアイテム
IT_AF_ARMS_NEVILLE_01_EXPR	777個集めると「氷蛇剣「インガルフ」」を生成することが出来るアイテム
IT_AF_ARMS_VLAD_01_EXPR	777個集めると「雷轟剣「レヴィン」」を生成することが出来るアイテム
IT_AF_ARMS_CAESAR_01_EXPR	777個集めると「暗黒剣「ファーニス」」を生成することが出来るアイテム
IT_AF_ARMS_NATSUME_01_EXPR	777個集めると「滅刀『黒斗』」を生成することが出来るアイテム
IT_AF_ARMO_YURA_01_EXPR	777個集めると「追跡者のブーツ」を生成することが出来るアイテム
IT_AF_ARMS_DARTAGNAN_01_EXPR	777個集めると「虎咆槍「タラッサ」」を生成することが出来るアイテム
IT_AF_ACCS_SEIDA_02_EXPR	777個集めると「巡風の蒼環」を生成することが出来るアイテム
IT_AF_ARMS_IRENE_01_EXPR	777個集めると「イナクトイェーガー」を生成することが出来るアイテム
IT_AF_ACCS_CRY_01_EXPR	777個集めると「碧天のペンダント」を生成することが出来るアイテム
IT_AF_ACCS_CLARIS_01_EXPR	777個集めると「リレーションリボン」を生成することが出来るアイテム
IT_AF_ARMS_INES_01_EXPR	777個集めると「彩精の祭器」を生成することが出来るアイテム
IT_AF_ACCS_BASINI_02_EXPR	777個集めると「ウィルアームリング」を生成することが出来るアイテム
IT_AF_ARMO_IGNACIO_01_EXPR	777個集めると「メッセンジャーコート」を生成することが出来るアイテム
IT_AF_ACCS_LOGISTILLA_02_EXPR	777個集めると「優しき魔女のリボン」を生成することが出来るアイテム
IT_AF_ACCS_SB_03_EXPR	777個集めると「グラスの帯留め」を生成することが出来るアイテム
IT_AF_ACCS_SB_04_EXPR	777個集めると「フィトリアの首飾り」を生成することが出来るアイテム
IT_AF_ARMS_SHAYNA_01_EXPR	777個集めると「ブライダルガントレット」を生成することが出来るアイテム
IT_AF_ARMO_CADANOVA_01_EXPR	777個集めると「焔竜王の外套」を生成することが出来るアイテム
IT_AF_ACCS_CHIHAYA_01_EXPR	777個集めると「祝花の髪飾り」を生成することが出来るアイテム
IT_AF_ARMS_HELENE_01_EXPR	777個集めると「トピアリーメイス」を生成することが出来るアイテム
IT_AF_ACCS_SHAHAR_01_EXPR	777個集めると「アドミニスターロッド」を生成することが出来るアイテム
IT_AF_ACCS_NEFERTY_02_EXPR	777個集めると「シーサイドキャペリン」を生成することが出来るアイテム（錬成上限数:3）
IT_AF_ARMS_IKASA_01_EXPR	777個集めると「冥境刀」を生成することが出来るアイテム
IT_AF_ARMO_SHENMEI_01_EXPR	777個集めると「キャプテンクローク」を生成することが出来るアイテム
IT_AF_ACCS_2000DAYS_01_EXPR	777個集めると「2000日記念ネックレス」を生成することが出来るアイテム
IT_AF_ACCS_ALCHEMY_01_EXPR	777個集めると「アルケミィフリーズジェム」を生成することが出来るアイテム(錬成上限数:2)
IT_AF_ARMS_CARLA_01_EXPR	777個集めると「熱砂の炎篭手」を生成することが出来るアイテム
IT_AF_ACCS_TINA_HEROS_01_EXPR	777個集めると「祝福の花冠」を生成することが出来るアイテム
IT_ARMO_DUNG_01_EXPR	777個集めると「サラマンダー・ウール」を生成することが出来るアイテム
IT_AF_ACCS_DUNG_02_EXPR	777個集めると「エンブレム」を生成することが出来るアイテム
IT_AF_ACCS_DUNG_03_EXPR	777個集めると「アイズのカチューシャ」を生成することが出来るアイテム
IT_AF_ACCS_ALCHEMY_02_EXPR	777個集めると「アルケミィクラッシュジェム」を生成することが出来るアイテム(錬成上限数:2)
IT_AF_ARMO_ORION_01_EXPR	777個集めると「若獅子の戦靴」を生成することが出来るアイテム
IT_AF_ACCS_LANGHAO_01_EXPR	777個集めると「餓狼のピアス」を生成することが出来るアイテム
IT_AF_ARMS_LANGHAO_01_EXPR	777個集めると「雷狼威槍」を生成することが出来るアイテム
IT_AF_ACCS_KAEDE_01_EXPR	777個集めると「黒白の腕貫」を生成することが出来るアイテム
IT_AF_ARMO_AINANNNA_01_EXPR	777個集めると「夏香の下駄」を生成することが出来るアイテム
IT_AF_ARMO_THOL_01_EXPR	777個集めると「夏夜の羽織」を生成することが出来るアイテム
IT_AF_ARMS_ZOPHIE_01_EXPR	777個集めると「魂杭剣」を生成することが出来るアイテム
IT_AF_ARMO_ZAFIRITH_01_EXPR	777個集めると「戦竜の軍靴」を生成することが出来るアイテム
IT_AF_ACCS_AMBROSIA_01_EXPR	777個集めると「アンブロシアエナン」を生成することが出来るアイテム
IT_AF_ACCS_ALCHEMY_03_EXPR	777個集めると「アルケミィオーバージェム」を生成することが出来るアイテム(錬成上限数:2)
IT_AF_ARMS_CELLIERS_01_EXPR	777個集めると「クォーツランス」を生成することが出来るアイテム
IT_AF_ARMO_MIELIKKI_01_EXPR	777個集めると「バタフライマント」を生成することが出来るアイテム
IT_AF_ACCS_TSP_03_EXPR	777個集めると「抗魔の仮面」を生成することが出来るアイテム
IT_AF_ACCS_TSP_04_EXPR	777個集めると「原初の悪魔の手袋」を生成することが出来るアイテム
IT_AF_ACCS_CLABUL_01_EXPR	777個集めると「純潔竜の霊印」を生成することが出来るアイテム
IT_AF_ARMO_QENS_01_EXPR	777個集めると「銀刻外套」を生成することが出来るアイテム
IT_AF_ARMS_TETIS_01_EXPR	777個集めると「白亜薙刀」を生成することが出来るアイテム
IT_AF_ARMS_CORDELIA_01_EXPR	777個集めると「夜陰のランス」を生成することが出来るアイテム
IT_AF_ARMO_IRA_01_EXPR	777個集めると「憤影のコート」を生成することが出来るアイテム
IT_AF_ACCS_KALMIA_01_EXPR	777個集めると「花笑みの髪留め」を生成することが出来るアイテム
IT_AF_ACCS_POK_SOLOMON_01_EXPR	777個集めると「グラウのぬいぐるみ」を生成することが出来るアイテム
IT_AF_ARMO_TERESA_01_EXPR	777個集めると「絆花の肩当て」を生成することが出来るアイテム
IT_AF_ACCS_RYLE_01_EXPR	777個集めると「白翼のブローチ」を生成することが出来るアイテム
IT_AF_ACCS_BALT_02_EXPR	777個集めると「覇双の誓飾」を生成することが出来るアイテム
IT_AF_ARMS_ASUWADO_01_EXPR	777個集めると「晦冥の葬剣」を生成することが出来るアイテム
IT_AF_ACCS_MESARTHIM_01_EXPR	777個集めると「制圧の堅鎖」を生成することが出来るアイテム
IT_AF_ARMO_RACHEL_01_EXPR	777個集めると「一角獣の聖夜装」を生成することが出来るアイテム
IT_AF_ACCS_GT_01_EXPR	777個集めると「銀さんのヘルメット」を生成することが出来るアイテム
IT_AF_ACCS_GT_02_EXPR	777個集めると「松下村塾の教科書」を生成することが出来るアイテム
IT_AF_ACCS_GT_03_EXPR	777個集めると「真選組の警察手帳」を生成することが出来るアイテム
IT_AF_ACCS_MATHIAS_01_EXPR	777個集めると「戦愛の帽子」を生成することが出来るアイテム
IT_AF_ARMO_NICAEA_02_EXPR	777個集めると「蒼霊姫の祝飾り」を生成することが出来るアイテム
IT_AF_ARMO_POK_RAGNAROK_01_EXPR	777個集めると「革命のショール」を生成することが出来るアイテム
IT_AF_ACCS_POK_TIFARET_02_EXPR	777個集めると「聖天の花飾り」を生成することが出来るアイテム
IT_AF_ARMS_JUBEI_01_EXPR	777個集めると「極渡と獄断」を生成することが出来るアイテム
IT_AF_ACCS_NIMURU_02_EXPR	777個集めると「創世の戦靴」を生成することが出来るアイテム
IT_AF_ARMO_AWAKE_EMMEL_01_EXPR	777個集めると「慈愛の錬精靴」を生成することが出来るアイテム
IT_AF_ACCS_ESAI_IGNACIO_01_EXPR	777個集めると「始王の装具」を生成することが出来るアイテム
IT_AF_ACCS_UROBOROS_LEGACY_01_EXPR	777個集めると「理の円環」を生成することが出来るアイテム
IT_AF_ACCS_JK_01_EXPR	777個集めると「屠坐魔」を生成することが出来るアイテム
IT_AF_ACCS_JK_02_EXPR	777個集めると「呪術高専のボタン」を生成することが出来るアイテム
IT_AF_ACCS_JK_03_EXPR	777個集めると「呪符」を生成することが出来るアイテム(錬成上限数:5)
IT_AF_ARMS_EVERICA_01_EXPR	777個集めると「破導刃ミューティレイト」を生成することが出来るアイテム
IT_AF_ARMS_ALMILA_LINK_01_EXPR	777個集めると「霊槍シンビオウシス」を生成することが出来るアイテム(錬成上限数:3)
IT_AF_ARMO_ALMILA_LINK_01_EXPR	777個集めると「約束の霊靴」を生成することが出来るアイテム
IT_AF_ACCS_MINARIO_01_EXPR	777個集めると「ガルシューターポーチ」を生成することが出来るアイテム
IT_AF_ACCS_KUZA_02_EXPR	777個集めると「誓いの刻装」を生成することが出来るアイテム
IT_AF_ARMS_TANBA_01_EXPR	777個集めると「鬼丹刀」を生成することが出来るアイテム
IT_AF_ACCS_TANBA_01_EXPR	777個集めると「王鬼鎧の留め具」を生成することが出来るアイテム
IT_AF_ACCS_LETICIA_01_EXPR	777個集めると「昏き光の黒飾」を生成することが出来るアイテム
IT_AF_ACCS_SCHMEIER_01_EXPR	777個集めると「賢竜の刻装」を生成することが出来るアイテム
IT_AF_ACCS_APRILFOOL_2022_02_EXPR	777個集めると「聖教騎士任務報告書」を生成することが出来るアイテム
IT_AF_ACCS_ALCHEMY_04_EXPR	777個集めると「アルケミィダウンジェム」を生成することが出来るアイテム(錬成上限数:2)
IT_AF_ARMS_ZANGETSU_LINK_01_EXPR	777個集めると「覇光杖」を生成することが出来るアイテム
IT_AF_ARMO_ZANGETSU_LINK_01_EXPR	777個集めると「戦神の陣羽織」を生成することが出来るアイテム
IT_AF_ACCS_MENBEI_01_EXPR	777個集めると「めんべいストラップ」を生成することが出来るアイテム
IT_AF_ARMO_SHIRMA_01_EXPR	777個集めると「流星刀『桜胡蝶』」を生成することが出来るアイテム
IT_AF_ARMO_CARNET_01_EXPR	777個集めると「死を告げる葬銃」を生成することが出来るアイテム
IT_AF_ACCS_DUNG_04_EXPR	777個集めると「ホワイトブリム」を生成することが出来るアイテム
IT_AF_ACCS_DUNG_05_EXPR	777個集めると「双葉」を生成することが出来るアイテム
IT_AF_ACCS_WILHELM_02_EXPR	777個集めると「賭場のシガレット」を生成することが出来るアイテム
IT_AF_ACCS_ANNEROSE_LINK_01_EXPR	777個集めると「魔導装具」を生成することが出来るアイテム
IT_AF_ACCS_ST_02_EXPR	777個集めると「封憶の罪飾」を生成することが出来るアイテム
IT_AF_ACCS_POK_GRANDEPIEU_01_EXPR	777個集めると「先駆者の髪飾り」を生成することが出来るアイテム
IT_AF_ARMO_RYUI_01_EXPR	777個集めると「灯花のドレス」を生成することが出来るアイテム
IT_AF_ARMS_GINO_01_EXPR	777個集めると「ブレッシングガード」を生成することが出来るアイテム
IT_AF_ACCS_MELVIREI_01_EXPR	777個集めると「慈海の霊飾」を生成することが出来るアイテム
IT_AF_ARMO_CLABUL_01_EXPR	777個集めると「純潔の夏装」を生成することが出来るアイテム
IT_AF_ACCS_IRENE_01_EXPR	777個集めると「影翼の夏飾」を生成することが出来るアイテム
IT_AF_ARMO_NIMURU_02_EXPR	777個集めると「夏宵の浴衣」を生成することが出来るアイテム
IT_AF_ARMS_THALIA_01_EXPR	777個集めると「バッカニアサーベル」を生成することが出来るアイテム
IT_AF_ARMS_ESTELA_01_EXPR	777個集めると「魔霊魔札」を生成することが出来るアイテム
IT_AF_ARMS_ESTELA_02_EXPR	777個集めると「速霊魔札」を生成することが出来るアイテム
IT_AF_ARMS_ESTELA_03_EXPR	777個集めると「堅霊魔札」を生成することが出来るアイテム
IT_AF_ARMO_ESTELA_01_EXPR	777個集めると「会霊魔札」を生成することが出来るアイテム
IT_AF_ARMO_ESTELA_02_EXPR	777個集めると「反霊魔札」を生成することが出来るアイテム
IT_AF_ARMO_ESTELA_03_EXPR	777個集めると「宝霊魔札」を生成することが出来るアイテム
IT_AF_ACCS_ESTELA_01_EXPR	777個集めると「撃霊魔札」を生成することが出来るアイテム
IT_AF_ACCS_ESTELA_02_EXPR	777個集めると「延霊魔札」を生成することが出来るアイテム
IT_AF_ACCS_ESTELA_03_EXPR	777個集めると「癒霊魔札」を生成することが出来るアイテム
IT_AF_ACCS_KAMUI_HEROS_01_EXPR	777個集めると「輝煌の祝花」を生成することが出来るアイテム
IT_AF_ACCS_MT3_03_EXPR	777個集めると「トランペッターのカズラ」を生成することが出来るアイテム
IT_AF_ACCS_MT3_04_EXPR	777個集めると「トールのグローブ」を生成することが出来るアイテム
IT_AF_ARMS_VERMIO_01_EXPR	777個集めると「聖流大剣」を生成することが出来るアイテム
IT_AF_ACCS_MITSUHA_01_EXPR	777個集めると「朱凰宝飾」を生成することが出来るアイテム
