QE_TM_POT_LIM_LV1	ステージ効果：物攻マイナス補正、魔攻プラス補正
QE_EV_GENESIS_0412	敗北条件：NPC(ワギナオ)が倒される
QE_EV_GENESIS_0413	敗北条件：NPC(ニムル、ク・イエナ、エウラリア)のうち、誰か一人でも倒される
QE_EV_GENESIS_0414	『ベルゼバブ』は全く移動しない<br>勝利条件：『ベルゼバブ』のHPを一定値以下に減らす<br>敗北条件：NPC(ニムル、ク・イエナ、エウラリア)のうち、誰か一人でも倒される
QE_EV_GENESIS_HA_0410	『ベルゼバブ』は全く移動しないが、開始直後に使用する『領域強化』は自身のリアクション発動率を大幅にアップさせるとともに、リアクション阻止もできなくしている<br>『ベルゼバブ』のリアクション『食い溜め』は射撃攻撃以外で発動し、範囲内の敵味方関係なくパラメータを吸収するとともに、3ターン自身の射撃・斬撃以外の耐性をアップする<br>ただし、このマップでは『ベルゼバブ』本来の能力を発揮できていないようで、『堕罪者』は巻き込まれても平気なようだ<br>リアクション『食い溜め』を考慮して編成しよう
QE_EV_GENESIS_EX_0410	『ベルゼバブ』は全く移動しないが、開始直後に使用する『領域強化』は自身のリアクション発動率を大幅にアップさせるとともに、リアクション阻止もできなくしている<br>『ベルゼバブ』のリアクション『食い溜め』は射撃攻撃以外で発動し、範囲内の敵味方関係なくパラメータを吸収するとともに、3ターン自身の射撃・斬撃以外の耐性をアップする<br>ただし、このマップでは『ベルゼバブ』本来の能力を発揮できていないようで、『堕罪者』は巻き込まれても平気なようだ<br>リアクション『食い溜め』を考慮して編成しよう

QE_EV_BUTAI_JIKKAI_N	推奨レベル：60<br>敵のズィーヴァはクエスト開始時に特殊なスキルを使用し特定の区分以外の回避率が大幅に上昇するぞ。
QE_EV_BUTAI_JIKKAI_EX1	推奨レベル：75<br>敵のフィーアはクエスト開始時に特殊なスキルを使用するぞ。状態異常への対策をしっかりとしておこう！<br>またフューリーのリアクションは特定の区分以外に確定で発動するようになっているので注意しよう。
QE_EV_BUTAI_JIKKAI_EX2	推奨レベル：95<br>このマップではプレイヤーの使用するバフターンが-1されているため注意しよう。グリードダイク兵は特定の区分への攻撃に弱くなっているぞ。<br>また、ソルは特定の条件を満たすと大幅に強化されるぞ
QE_MULTI_BUTAI_JIKKAI_EX2	推奨レベル：95<br>このマップではプレイヤーの使用するバフターンが-1されているため注意しよう。グリードダイク兵は特定の区分への攻撃に弱くなっているぞ。<br>また、ソルは特定の条件を満たすと大幅に強化されるぞ

QE_EV_WHITEDAY_2020_EX	ヒント：<br>■敵も味方も乗ると割合ダメージを受ける『ダメージパネル』に注意しよう！<br>■『魔人』以外の敵を倒すと『ダメージパネル』が消えて、さらに『魔人』に大きなダメージを与えられるようになるぞ！<br>■敵は全員斬撃、刺突と魔法攻撃以外の耐性を持っていて、さらにホーリーナイトの『男』はノックバック効果があるリアクションを使ってくるぞ！<br>■敵の魔法は属性特効を持っているぞ。中でも魔道士の『男』はさらに強力な魔法を使うことがあるので注意しよう！
QE_MULTI_WHITEDAY_2020_EX	ヒント：<br>■敵も味方も乗ると割合ダメージを受ける『ダメージパネル』に注意しよう！<br>■『魔人』以外の敵を倒すと『ダメージパネル』が消えて、さらに『魔人』に大きなダメージを与えられるようになるぞ！<br>■敵は全員斬撃、刺突と魔法攻撃以外の耐性を持っていて、さらにホーリーナイトの『男』はノックバック効果があるリアクションを使ってくるぞ！<br>■敵の魔法は属性特効を持っているぞ。中でも魔道士の『男』はさらに強力な魔法を使うことがあるので注意しよう！
QE_EV_WHITEDAY_2020_EX_SP	ヒント：<br>■敵も味方も乗ると割合ダメージを受ける『ダメージパネル』に注意しよう！<br>■『魔人』以外の敵を倒すと『ダメージパネル』が消えて、さらに『魔人』に大きなダメージを与えられるようになるぞ！<br>■敵は全員斬撃、刺突と魔法攻撃以外の耐性を持っていて、さらにホーリーナイトの『男』はノックバック効果があるリアクションを使ってくるぞ！<br>■敵の魔法は属性特効を持っているぞ。中でも魔道士の『男』はさらに強力な魔法を使うことがあるので注意しよう！
QE_MULTI_WHITEDAY_2020_EX_SP	ヒント：<br>■敵も味方も乗ると割合ダメージを受ける『ダメージパネル』に注意しよう！<br>■『魔人』以外の敵を倒すと『ダメージパネル』が消えて、さらに『魔人』に大きなダメージを与えられるようになるぞ！<br>■敵は全員斬撃、刺突と魔法攻撃以外の耐性を持っていて、さらにホーリーナイトの『男』はノックバック効果があるリアクションを使ってくるぞ！<br>■敵の魔法は属性特効を持っているぞ。中でも魔道士の『男』はさらに強力な魔法を使うことがあるので注意しよう！
QE_EV_WHITEDAY_2020_EX_SP2	ヒント：<br>■味方が乗ると割合ダメージを受ける『ダメージパネル』に注意しよう！<br>■『魔人』以外の敵を倒すと『ダメージパネル』が消えて、さらに『魔人』に大きなダメージを与えられるようになるぞ！<br>■敵は全員斬撃、刺突と魔法攻撃以外の耐性を持っていて、さらにホーリーナイトの『男』はノックバック効果がある先制リアクションを強制的に使ってくるぞ！<br>■敵の魔法は属性特効を持っているぞ。中でも魔道士の『男』はさらに強力な魔法を使うことがあるので注意しよう！
QE_MULTI_WHITEDAY_2020_EX_SP2	ヒント：<br>■味方が乗ると割合ダメージを受ける『ダメージパネル』に注意しよう！<br>■『魔人』以外の敵を倒すと『ダメージパネル』が消えて、さらに『魔人』に大きなダメージを与えられるようになるぞ！<br>■敵は全員斬撃、刺突と魔法攻撃以外の耐性を持っていて、さらにホーリーナイトの『男』はノックバック効果がある先制リアクションを強制的に使ってくるぞ！<br>■敵の魔法は属性特効を持っているぞ。中でも魔道士の『男』はさらに強力な魔法を使うことがあるので注意しよう！

QE_EV_PLUMERIA_WHITEDAY_2020_CP	クエストに『プルメリア』を連れていき<br>「操水技」「基本操水技」のいずれかを使用すると何か良いことが起きるかも…！？

QE_EV_DIOS_JOB3_EX_SP	ヒント：<br>・『ディオス』はマップ出現時に『サバレタ』の挑発で全パラメータアップするぞ！　※傭兵は対象外<br>・『聖教騎士団員』は操作可能だぞ！『ビショップ』と『奇術師』を駆使して、『ディオス』をサポートしよう！<br><br>敗北条件：『ディオス』死亡　※傭兵は対象外<br>コンティニュー不可
QE_EV_DIOS_JOB3_EX_SP2	ヒント：<br>・『ディオス』はマップ出現時に『サバレタ』の挑発で全パラメータアップするぞ！　※傭兵は対象外<br>・『聖教騎士団員』は操作可能だぞ！『ビショップ』、『奇術師』と『エンハンサー』を駆使して、『ディオス』をサポートしよう！<br><br>敗北条件：『ディオス』死亡　※傭兵は対象外<br>コンティニュー不可

QE_RAID_PORT_04_1_KAKUNIN	コンティニュー不可。<br><br>50ターン経過すると、自動的に勝利となります。
QE_RAID_PORT_04_2_KAKUNIN	コンティニュー不可。<br><br>51ターン経過すると、自動的に勝利となります。
QE_RAID_PORT_04_3_KAKUNIN	コンティニュー不可。<br><br>51ターン経過すると、自動的に勝利となります。
QE_RAID_PORT_04_4_KAKUNIN	コンティニュー不可。<br><br>50ターン経過すると、自動的に勝利となります。
QE_RAID_PORT_04_5_KAKUNIN	コンティニュー不可。<br><br>50ターン経過すると、自動的に勝利となります。

QE_RAID_PORT_05_1_KAKUNIN	コンティニュー不可。<br><br>51ターン経過すると、自動的に勝利となります。
QE_RAID_PORT_05_2_KAKUNIN	コンティニュー不可。<br><br>50ターン経過すると、自動的に勝利となります。
QE_RAID_PORT_05_3_KAKUNIN	コンティニュー不可。<br><br>50ターン経過すると、自動的に勝利となります。
QE_RAID_PORT_05_4_KAKUNIN	コンティニュー不可。<br><br>50ターン経過すると、自動的に勝利となります。
QE_RAID_PORT_05_5_KAKUNIN	コンティニュー不可。<br><br>51ターン経過すると、自動的に勝利となります。

QE_EV_SHADOWMESSIAH_01_01	『巨大ウルフ』は通常のウルフと同じように暗闇・憤怒の耐性がないが、毒に対しては耐性を持っている。
QE_EV_SHADOWMESSIAH_01_02	『巨大ウルフ』は通常のウルフと同じように暗闇・憤怒の耐性がないが、毒に対しては耐性を持っている。<br>敗北条件：NPCザハル死亡
QE_EV_SHADOWMESSIAH_01_03	『巨大ウルフ』は通常のウルフと同じように暗闇・憤怒の耐性がないが、毒に対しては耐性を持っている。
QE_EV_SHADOWMESSIAH_01_04	敗北条件：NPCザハル死亡
QE_EV_SHADOWMESSIAH_01_05	敗北条件：NPCスピカ死亡
QE_EV_SHADOWMESSIAH_01_EX	『巨大ウルフ』は通常のウルフと同じように暗闇・憤怒の耐性がないが、毒に対しては耐性を持っている。<br>『足の速いレッドウルフ』『足の速いブルーウルフ』は移動力が高いので、囲まれないように注意しよう。
QE_EV_SHADOWMESSIAH_01_EX_SP	『巨大ウルフ』は通常のウルフと同じように暗闇・憤怒の耐性がないが、毒に対しては耐性を持っている。<br>『足の速いレッドウルフ』『足の速いブルーウルフ』は移動力が高いので、囲まれないように注意しよう。<br>『巨大ウルフ』が倒されると、残った『巨大ウルフ』はスキル『怒りの雄叫び』を使用するが、その時に増援が出現する。<br>3体同時に倒して、残った『巨大ウルフ』がいなければ…？
QE_EV_SHADOWMESSIAH_01_EX_SP2	『巨大ウルフ』は通常のウルフと同じように暗闇・憤怒効果への耐性がないが、毒効果に対しては耐性を持っている。<br>また、斬撃・ジャンプ以外で攻撃するとリアクションで「永続の治癒力ダウン」が付与されるので注意しよう。<br>『ザハルの影』『レティシアの影』『スピカの影』は、斬撃・ジャンプ以外の攻撃に耐性がある。<br>倒した後に再出現することもあるが、倒す順番によっては特定の敵ユニットを倒してくれるので、法則を見つけて活用しよう。<br>増援で出現する『堕罪者』も『巨大ウルフ』と同じように斬撃・ジャンプ以外で攻撃するとリアクションで「永続の治癒力ダウン」が付与され、さらに攻撃スキルは「治癒力ダウン状態の場合威力アップ」の効果がある。<br>さらに『巨大ウルフ』と『堕罪者』のリアクションは発動を防ぐことができないので、斬撃・ジャンプ以外で攻撃する際は注意しよう。
QE_MULTI_SHADOWMESSIAH_01_EX	『巨大ウルフ』は通常のウルフと同じように暗闇・憤怒の耐性がないが、毒に対しては耐性を持っている。<br>『足の速いレッドウルフ』『足の速いブルーウルフ』は移動力が高いので、囲まれないように注意しよう。
QE_MULTI_SHADOWMESSIAH_01_EX_SP	『巨大ウルフ』は通常のウルフと同じように暗闇・憤怒の耐性がないが、毒に対しては耐性を持っている。<br>『足の速いレッドウルフ』『足の速いブルーウルフ』は移動力が高いので、囲まれないように注意しよう。<br>『巨大ウルフ』が倒されると、残った『巨大ウルフ』はスキル『怒りの雄叫び』を使用するが、その時に増援が出現する。<br>3体同時に倒して、残った『巨大ウルフ』がいなければ…？
QE_MULTI_SHADOWMESSIAH_01_EX_SP2	『巨大ウルフ』は通常のウルフと同じように暗闇・憤怒効果への耐性がないが、毒効果に対しては耐性を持っている。<br>また、斬撃・ジャンプ以外で攻撃するとリアクションで「永続の治癒力ダウン」が付与されるので注意しよう。<br>『ザハルの影』『レティシアの影』『スピカの影』は、斬撃・ジャンプ以外の攻撃に耐性がある。<br>倒した後に再出現することもあるが、倒す順番によっては特定の敵ユニットを倒してくれるので、法則を見つけて活用しよう。<br>増援で出現する『堕罪者』も『巨大ウルフ』と同じように斬撃・ジャンプ以外で攻撃するとリアクションで「永続の治癒力ダウン」が付与され、さらに攻撃スキルは「治癒力ダウン状態の場合威力アップ」の効果がある。<br>さらに『巨大ウルフ』と『堕罪者』のリアクションは発動を防ぐことができないので、斬撃・ジャンプ以外で攻撃する際は注意しよう。
QE_MULTI_SHADOWMESSIAH_02_EX_CC	『巨大ウルフ』は通常のウルフと同じように暗闇・憤怒の耐性がないが、毒に対しては耐性を持っている。<br>『巨大ウルフ』はそれぞれドロップアイテムが違うので、必要に応じて討伐対象を変更しよう。<br>『巨大ウルフ』が倒されると、残った『巨大ウルフ』はスキル『怒りの雄叫び』を使用して撤退するが、その時に『堕罪者』が増援で出現する。<br><br>『巨大ウルフ』を倒した時に出現する『ザハルの影』『レティシアの影』『スピカの影』は、斬撃・ジャンプ以外の攻撃に耐性がある。<br>『ザハルの影』『レティシアの影』『スピカの影』は倒した後に再び出現することもあるぞ。<br><br>増援で出現する『堕罪者』は斬撃・ジャンプ以外で攻撃するとリアクションで「永続の治癒力ダウン」が付与される。<br>このリアクションは発動を防ぐことができないので、斬撃・ジャンプ以外で攻撃する際は注意しよう。<br>『堕罪者』の一部の攻撃スキルには「治癒力ダウン状態の場合威力アップ」の効果があるぞ。
QE_MULTI_SHADOWMESSIAH_02_EX_SP_CC	『巨大ウルフ』は通常のウルフと同じように暗闇・憤怒の耐性がないが、毒に対しては耐性を持っている。<br>『巨大ウルフ』はそれぞれドロップアイテムが違うので、必要に応じて討伐対象を変更しよう。<br>『巨大ウルフ』が倒されると、残った『巨大ウルフ』はスキル『怒りの雄叫び』を使用して撤退するが、その時に『堕罪者』が増援で出現する。<br><br>『巨大ウルフ』を倒した時に出現する『ザハルの影』『レティシアの影』『スピカの影』は、斬撃・ジャンプ以外の攻撃に耐性がある。<br>『ザハルの影』『レティシアの影』『スピカの影』は倒した後に再び出現することもあるぞ。<br><br>増援で出現する『堕罪者』は斬撃・ジャンプ以外で攻撃するとリアクションで「永続の治癒力ダウン」が付与される。<br>このリアクションは発動を防ぐことができないので、斬撃・ジャンプ以外で攻撃する際は注意しよう。<br>『堕罪者』の一部の攻撃スキルには「治癒力ダウン状態の場合威力アップ」の効果があるぞ。

QE_EV_ADVANCE_SB_01_NO_02	-<br>【強制出撃】<br>メルティ＝メルロマルク
QE_EV_ADVANCE_SB_01_NO_03	-<br>【強制出撃】<br>メルティ＝メルロマルク
QE_EV_ADVANCE_SB_01_NO_04	-<br>【強制出撃】<br>メルティ＝メルロマルク
QE_EV_ADVANCE_SB_01_NO_05	-<br>【強制出撃】<br>メルティ＝メルロマルク
QE_EV_ADVANCE_SB_01_NO_06	-<br>【強制出撃】<br>メルティ＝メルロマルク
QE_EV_ADVANCE_SB_01_NO_07	-<br>【強制出撃】<br>メルティ＝メルロマルク
QE_EV_ADVANCE_SB_01_NO_08	-<br>【強制出撃】<br>メルティ＝メルロマルク
QE_EV_ADVANCE_SB_01_NO_09	-<br>【強制出撃】<br>メルティ＝メルロマルク
QE_EV_ADVANCE_SB_01_NO_10	-<br>【強制出撃】<br>メルティ＝メルロマルク

QE_EV_SB_EX_01	剣鬼・槍鬼・弓鬼は他の味方の特定の区分耐性を上昇させる能力を所持しているぞ。<br>また、敵はこちらの物攻や魔攻の値が高いほど威力の上がる攻撃を所持しているので注意しよう
QE_MULTI_SB_EX_01	剣鬼・槍鬼・弓鬼は他の味方の特定の区分耐性を上昇させる能力を所持しているぞ。<br>また、敵はこちらの物攻や魔攻の値が高いほど威力の上がる攻撃を所持しているので注意しよう
QE_EV_SB_EX_02	全エネミーの命中が最初からダウンしているが、使用するスキルの威力が高い。<br>なるべく攻撃スキルを受けないように立ち回りながら殲滅していこう。<br>このクエストには、刺突攻撃に強い敵が多く出現するぞ。
QE_MULTI_SB_EX_02	全エネミーの命中が最初からダウンしているが、使用するスキルの威力が高い。<br>なるべく攻撃スキルを受けないように立ち回りながら殲滅していこう。<br>このクエストには、刺突攻撃に強い敵が多く出現するぞ。
QE_EV_SB_EX_03	敵は雷属性ばかりなので風属性ユニットで攻略すると良い。増援で登場するボス格の敵ユニットは1度倒した後に再度パワーアップして現れ強力なバフを使用するので、一気にたたみかけよう！
QE_MULTI_SB_EX_03	敵は雷属性ばかりなので風属性ユニットで攻略すると良い。増援で登場するボス格の敵ユニットは1度倒した後に再度パワーアップして現れ強力なバフを使用するので、一気にたたみかけよう！
QE_EV_SB_EX_04	遠く離れた場所にいる魔人は毎ターン長射程の単体攻撃をしてくる。大量に発生するオレンジバルーンは、状態異常攻撃や特定条件下で自爆攻撃などをしてくるため、一撃で倒すのが安全だ！
QE_MULTI_SB_EX_04	遠く離れた場所にいる魔人は毎ターン長射程の単体攻撃をしてくる。大量に発生するオレンジバルーンは、状態異常攻撃や特定条件下で自爆攻撃などをしてくるため、一撃で倒すのが安全だ！
QE_EV_SB_EX_05	攻略のヒント：『幻影兵・拳聖』が使用するリアクションアビリティ『打撃の構え』は「斬撃・射撃以外の攻撃区分」に反応し、「1ターン自身の打撃攻撃力大幅アップ&移動力+5」の効果がある。
QE_EV_SB_EX_06	攻略のヒント：『メタルラットン』は毎ターン敵全体に「1回ダメージを半減するシールド」を張る。
QE_MULTI_SB_EX_05	攻略のヒント：『幻影兵・拳聖』が使用するリアクションアビリティ『打撃の構え』は「斬撃・射撃以外の攻撃区分」に反応し、「1ターン自身の打撃攻撃力大幅アップ&移動力+5」の効果がある。
QE_MULTI_SB_EX_06	攻略のヒント：『メタルラットン』は毎ターン敵全体に「1回ダメージを半減するシールド」を張る。

QE_EV_SB_EX_SP_01	勝利条件：オレンジバルーン以外の敵を全て倒す<br>剣鬼・槍鬼・弓鬼は他の味方の特定の区分耐性を上昇させる能力を所持しているぞ。<br>また、敵はこちらの物攻や魔攻の値が高いほど威力の上がる攻撃を所持しているので注意しよう！<br>
QE_EV_SB_EX_SP_02	勝利条件：スケルトン、オレンジバルーン以外の敵を全て倒す<br>敵は雷属性ばかりなので風属性ユニットで攻略すると良い。ボス格の敵ユニットは強力なバフを使用する上に毎ターン攻撃力を上げていくので、一気にたたみかけよう！<br>
QE_EV_SB_EX_SP_03	実験体は、それぞれ特定の区分耐性を持っているぞ。<br>スケルトンは、射程は短いが威力の高い攻撃を仕掛けてくるぞ。

QE_EV_SB_EX_SP2	ソウルイーターの耐性は、それぞれ対応した敵を倒すことで下げることができるぞ。<br>対応一覧<br>リザードマン：斬撃、魔人：射撃・魔法、マンドラゴラ：打撃<br><br>ソウルイーター以外の敵もそれぞれ一つの攻撃以外に耐性を持っているので、それぞれ得意なユニットで分担して対応しよう！<br>不死魔人は、スケルトンを全て倒すことで倒すことができるぞ。<br>マンドラゴラは敵全体の耐性を上げるスキルを使用してくる。素早く倒さないとダメージが与えにくくなってしまうぞ。<br>グリーンリザードの『アローレイン』はダメージと共に物防ダウン効果がついている為注意しよう。

QE_EV_GLANZ_CC_05	敗北条件：NPCグランツ、NPCラシェルのどちらかが倒される
QE_EV_GLANZ_CC_EX	全ての敵は「斬撃以外の攻撃区分」と「火と闇以外の属性」に耐性があるので、編成時に注意しよう。
QE_MULTI_GLANZ_CC_EX	全ての敵は「斬撃以外の攻撃区分」と「火と闇以外の属性」に耐性があるので、編成時に注意しよう。
QE_EV_GLANZ_CC_EX_SP	全ての敵は「斬撃以外の攻撃区分」と「火と闇以外の属性」に耐性があるので、編成時に注意しよう。<br>『魔人』は「1ターンHP自動回復効果&ジュエル自動回復効果」のパネル上にいるため、パネルから移動させて倒したい。壊せる壁の一部は特定条件で破壊されるので、上手く活用しよう。<br>『魔人』はスキル『能力増幅』でパラメータを強化するが、リアクションの『能力増幅』の方がより大きく強化されるので不用意な攻撃で強化させるとマップ全体の必中攻撃である『魔人暴走』の威力が上がるので注意しよう。
QE_MULTI_GLANZ_CC_EX_SP	全ての敵は「斬撃以外の攻撃区分」と「火と闇以外の属性」に耐性があるので、編成時に注意しよう。<br>『魔人』は「1ターンHP自動回復効果&ジュエル自動回復効果」のパネル上にいるため、パネルから移動させて倒したい。壊せる壁の一部は特定条件で破壊されるので、上手く活用しよう。<br>『魔人』はスキル『能力増幅』でパラメータを強化するが、リアクションの『能力増幅』の方がより大きく強化されるので不用意な攻撃で強化させるとマップ全体の必中攻撃である『魔人暴走』の威力が上がるので注意しよう。
QE_EV_GLANZ_CC_EX_SP2	全ての敵は「斬撃以外の攻撃区分」と「火と闇以外の属性」に耐性があるので、編成時に注意しよう。<br>3体いる『ディアブロ』は「1ターンHP自動回復効果&ジュエル自動回復効果」のパネル上にいるため、パネルから移動させて倒したい。壊せる壁の一部は特定条件で破壊されるので、上手く活用しよう。<br>『ディアブロ』はスキル『能力増幅』でパラメータを強化するが、リアクションの『能力増幅』の方がより大きく強化されるので不用意な攻撃で強化させるとマップ全体の必中攻撃である『闇の咆哮』の威力が上がるので注意しよう。<br>『魔人』は非常に射程の長いスキルで攻撃してくるので逃げ場はない。距離を詰めて倒そう。<br>『魔人』を全て倒すと『リーダーミノタウロス』と『不死ミノタウロス』が出現する。『リーダーミノタウロス』の強力な先制リアクションは、ユニットが持っている叛逆効果により発動を阻止できないため注意しよう。
QE_MULTI_GLANZ_CC_EX_SP2	全ての敵は「斬撃以外の攻撃区分」と「火と闇以外の属性」に耐性があるので、編成時に注意しよう。<br>3体いる『ディアブロ』は「1ターンHP自動回復効果&ジュエル自動回復効果」のパネル上にいるため、パネルから移動させて倒したい。壊せる壁の一部は特定条件で破壊されるので、上手く活用しよう。<br>『ディアブロ』はスキル『能力増幅』でパラメータを強化するが、リアクションの『能力増幅』の方がより大きく強化されるので不用意な攻撃で強化させるとマップ全体の必中攻撃である『闇の咆哮』の威力が上がるので注意しよう。<br>『魔人』は非常に射程の長いスキルで攻撃してくるので逃げ場はない。距離を詰めて倒そう。<br>『魔人』を全て倒すと『リーダーミノタウロス』と『不死ミノタウロス』が出現する。『リーダーミノタウロス』の強力な先制リアクションは、ユニットが持っている叛逆効果により発動を阻止できないため注意しよう。

QE_EV_CANON_CC	敗北条件：カノン死亡<br><br>ヒント：<br>敵はHPが減っていくと強力なスキルを使ってくるので、火力を集中して確実に撃破しよう！
QE_EV_SB_RANKQUEST_LV_01	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減50%<br><br><有効な状態異常><br>ラフタリア：移動禁止、暗闇<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>フィーロ：移動禁止、回復無効、クロックダウン<br>
QE_EV_SB_RANKQUEST_LV_02	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減50%<br><br><有効な状態異常><br>ラフタリア：移動禁止、暗闇<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>フィーロ：移動禁止、回復無効、クロックダウン<br>
QE_EV_SB_RANKQUEST_LV_03	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減50%<br><br><有効な状態異常><br>ラフタリア：移動禁止、暗闇<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>フィーロ：移動禁止、回復無効、クロックダウン<br>
QE_EV_SB_RANKQUEST_LV_04	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減50%<br><br><有効な状態異常><br>ラフタリア：移動禁止、暗闇<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>フィーロ：移動禁止、回復無効、クロックダウン<br>
QE_EV_SB_RANKQUEST_LV_05	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減50%<br><br><有効な状態異常><br>ラフタリア：移動禁止、暗闇<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>フィーロ：移動禁止、回復無効、クロックダウン<br>
QE_EV_SB_RANKQUEST_LV_06	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減50%<br><br>攻略のヒント：<br>■敵ユニット『岩谷尚文』には以下の特徴がある。<br>・最初の被ダメージと、以降攻撃を4ヒット受けるごとに『ファスト・ヒール』が発動し、1ターン被ダメージを軽減する。<br>・範囲攻撃に対して非常に高い耐性を持っている。<br><br><有効な状態異常><br>岩谷尚文：移動禁止<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>フィーロ：移動禁止、回復無効、クロックダウン<br>
QE_EV_SB_RANKQUEST_LV_07	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減50%<br><br>攻略のヒント：<br>■敵ユニット『岩谷尚文』には以下の特徴がある。<br>・最初の被ダメージと、以降攻撃を4ヒット受けるごとに『ファスト・ヒール』が発動し、1ターン被ダメージを軽減する。<br>・範囲攻撃に対して非常に高い耐性を持っている。<br><br><有効な状態異常><br>岩谷尚文：移動禁止<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>フィーロ：移動禁止、回復無効、クロックダウン<br>
QE_EV_SB_RANKQUEST_LV_08	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減50%<br><br>攻略のヒント：<br>■敵ユニット『岩谷尚文』には以下の特徴がある。<br>・最初の被ダメージと、以降攻撃を4ヒット受けるごとに『ファスト・ヒール』が発動し、1ターン被ダメージを軽減する。<br>・範囲攻撃に対して非常に高い耐性を持っている。<br><br><有効な状態異常><br>岩谷尚文：移動禁止<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>フィーロ：移動禁止、回復無効、クロックダウン<br>
QE_EV_SB_RANKQUEST_LV_09	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減50%<br><br>攻略のヒント：<br>■敵ユニット『岩谷尚文』には以下の特徴がある。<br>・最初の被ダメージと、以降攻撃を4ヒット受けるごとに『ファスト・ヒール』が発動し、1ターン被ダメージを軽減する。<br>・範囲攻撃に対して非常に高い耐性を持っている。<br><br><有効な状態異常><br>岩谷尚文：移動禁止<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>フィーロ：移動禁止、回復無効、クロックダウン<br>
QE_EV_SB_RANKQUEST_LV_10	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減50%<br><br>攻略のヒント：<br>■敵ユニット『岩谷尚文』には以下の特徴がある。<br>・最初の被ダメージと、以降攻撃を4ヒット受けるごとに『ファスト・ヒール』が発動し、1ターン被ダメージを軽減する。<br>・範囲攻撃に対して非常に高い耐性を持っている。<br><br><有効な状態異常><br>岩谷尚文：移動禁止<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>フィーロ：移動禁止、回復無効、クロックダウン<br>
QE_EV_SB_RANKQUEST_LV_11	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減90%<br><br>攻略のヒント：<br>■敵ユニット『岩谷尚文』には以下の特徴がある。<br>・最初の被ダメージと、以降攻撃を4ヒット受けるごとに『ツヴァイト・ヒール』が発動し、1ターン被ダメージを軽減する。<br>・範囲攻撃に対して非常に高い耐性を持っている。<br>・敵ユニットが倒れるたびにパラメータアップや行動パターンの変化などが発生するため注意しよう。<br><br><有効な状態異常><br>岩谷尚文：移動禁止<br>ラフタリア：移動禁止、暗闇<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>
QE_EV_SB_RANKQUEST_LV_12	全ての敵ユニット：<br>物攻・物防・魔攻・魔防・素早さ・器用さデバフ軽減90%<br><br>攻略のヒント：<br>■敵ユニット『岩谷尚文』には以下の特徴がある。<br>・最初の被ダメージと、以降攻撃を4ヒット受けるごとに『ツヴァイト・ヒール』が発動し、1ターン被ダメージを軽減する。<br>・範囲攻撃に対して非常に高い耐性を持っている。<br>・敵ユニットが倒れるたびにパラメータアップや行動パターンの変化などが発生するため注意しよう。<br><br><有効な状態異常><br>岩谷尚文：移動禁止<br>ラフタリア：移動禁止、暗闇<br>メルティ＝メルロマルク：移動禁止、回復無効、スタン(50%)、毒(50%)<br>
