IT_US_FATE_TAIYAKI_EXPR	Casts Quicken status on user for three turns.
IT_EQ_SOUL_NIN_GENBU_EXPR	Required in order to change to the "Ninja [Black Tortoise]" job type
IT_EQ_SOUL_NIN_SUZAKU_EXPR	Required in order to change to the "Ninja [Vermilion Bird]" job type
IT_EQ_SOUL_NIN_BYACO_EXPR	Required in order to change to the "Ninja [White Tiger]" job type
IT_EQ_SOUL_NIN_SEIRYU_EXPR	Required in order to change to the "Ninja [Azure Dragon]" job type
IT_EQ_SOUL_DGN_VRITRA_EXPR	Required in order to change to the "Dragon Cavalier [Vritra]" job type
IT_EQ_SOUL_DGN_GARUDA_EXPR	Required in order to change to the "Dragon Cavalier [Garuda]" job type
IT_EQ_SOUL_DGN_RUDRA_EXPR	Required in order to change to the "Dragon Cavalier [Rudra]" job type
IT_EQ_SOUL_GUA_TYPE_ANTI_SWORD_EXPR	Required in order to change to the "Holy Cavalier [Isaiah]" job type
IT_EQ_SOUL_GUA_TYPE_ANTI_LANCE_EXPR	Required in order to change to the "Holy Cavalier [Porta]" job type
IT_EQ_SOUL_GUA_TYPE_ANTI_BLOW_EXPR	Required in order to change to the "Holy Cavalier [David]" job type
IT_EQ_SOUL_GUA_TYPE_ANTI_MAGIC_EXPR	Required in order to change to the "Holy Cavalier [Magi]" job type
IT_EQ_SOUL_GUA_TYPE_ANTI_WIDE_ATK_EXPR	Required in order to change to the "Holy Cavalier [Ark]" job type
IT_EQ_SOUL_GUA_TYPE_HEALING_EXPR	Required in order to change to the "Holy Cavalier [Pieta]" job type
IT_EQ_SOUL_DOC_TYPE_HEALING_EXPR	Required in order to change to the "Professor [Aid]" job type
IT_EQ_SOUL_DOC_TYPE_BUFF_EXPR	Required in order to change to the "Professor [Mad]" job type
IT_EQ_SOUL_DOC_TYPE_POISON_EXPR	Required in order to change to the "Professor [Bio]" job type
IT_EQ_SOUL_DOC_TYPE_CHARM_EXPR	Required in order to change to the "Professor [Honey]" job type
IT_EQ_SOUL_RAN_TYPE_AVOID_EXPR	Required in order to change to the "Ranger [Falcon]" job type
IT_EQ_SOUL_RAN_TYPE_MONS_EXPR	Required in order to change to the "Ranger [Lupus]" job type
IT_EQ_SOUL_RAN_TYPE_JEWELDAMEGE_EXPR	Required in order to change to the "Ranger [Serpent]" job type
IT_EQ_SOUL_BLA_TYPE_TK_MONS_EXPR	Required in order to change to the "Martial Master [Beast-Destroyer]" job type
IT_EQ_SOUL_BLA_TYPE_TK_HUMAN_EXPR	Required in order to change to the "Martial Master [Man-Breaker]" job type
IT_EQ_SOUL_BLA_TYPE_TK_MECHA_EXPR	Required in order to change to the "Martial Master [Mech-Crusher]" job type
IT_EQ_SOUL_BAA_TYPE_MOVE_EXPR	Required in order to change to the "Dark Cavalier [Espion]" job type
IT_EQ_SOUL_BAA_TYPE_ITIGEKI_EXPR	Required in order to change to the "Dark Cavalier [Guernica]" job type
IT_EQ_SOUL_BAA_TYPE_RISKY_EXPR	Required in order to change to the "Dark Cavalier [Faust]" job type
IT_EQ_SOUL_BAA_TYPE_DRAIN_EXPR	Required in order to change to the "Dark Cavalier [Zeele]" job type
IT_EQ_SOUL_BAA_TYPE_ATTAK_EXPR	Required in order to change to the "Dark Cavalier [Jaeger]" job type
IT_EQ_SOUL_GUA_TYPE_ANTI_ZAYI_EXPR	Required in order to change to the "Holy Cavalier [Ghia]" job type
IT_EQ_SOUL_DAI_FIRE_EXPR	 
IT_EQ_SOUL_DAI_WATER_EXPR	 
IT_EQ_SOUL_DAI_WIND_EXPR	 
IT_EQ_SOUL_DAI_THUNDER_EXPR	 
IT_EQ_SOUL_DAI_POWER_EXPR	 
IT_EQ_SOUL_MAH_FIRE_EXPR	 
IT_EQ_SOUL_MAH_WATER_EXPR	 
IT_EQ_SOUL_MAH_WIND_EXPR	 
IT_EQ_SOUL_MAH_THUNDER_EXPR	 
IT_EQ_SOUL_MAH_SHINE_EXPR	 
IT_EQ_SOUL_MAH_DARK_EXPR	 
IT_EQ_SOUL_KIL_ANTI_MAGIC_EXPR	 
IT_EQ_SOUL_KIL_SCOUT_EXPR	 
IT_EQ_SOUL_SHN_RUCK_CT_PLUS_EXPR	 
IT_EQ_SOUL_SHN_RUCK_CHARM_EXPR	 
IT_EQ_SOUL_SHN_RUCK_HEEL_EXPR	 
IT_EQ_SOUL_SHN_RUCK_FINANCIAL_EXPR	 
IT_EQ_SOUL_SNI_SNIPE_EXPR	 
IT_EQ_SOUL_SNI_LONG_RANGE_EXPR	 
IT_EQ_SOUL_SNI_ZERO_RANGE_EXPR	 
IT_EQ_SOUL_MAJ_FIRE_EXPR	 
IT_EQ_SOUL_MAJ_WATER_EXPR	 
IT_EQ_SOUL_MAJ_WIND_EXPR	 
IT_EQ_SOUL_MAJ_THUNDER_EXPR	 
IT_EQ_SOUL_ENC_ANTI_BUFF_EXPR	 
IT_EQ_SOUL_ENC_FIRE_EXPR	 
IT_EQ_SOUL_ENC_WATER_EXPR	 
IT_EQ_SOUL_ENC_WIND_EXPR	 
IT_EQ_SOUL_ENC_THUNDER_EXPR	 
IT_EQ_SOUL_KYAR_SHN_EXPR	 
IT_EQ_SOUL_BERS_EXPR	 
IT_EQ_SOUL_GUNL_EXPR	 
IT_EQ_SOUL_FIONA01_EXPR	 
IT_EQ_SOUL_LUROB03_EXPR	 
IT_EQ_SOUL_NOAH_HWIZ_EXPR	 
IT_EQ_SOUL_CADA_GUA_CC_EXPR	 
IT_EQ_SOUL_HENC_EXPR	 
IT_EQ_SOUL_SYO_AGA_EXPR	 
IT_EQ_SOUL_SYO_TIR_EXPR	 
IT_EQ_SOUL_SYO_HEL_EXPR	 
IT_EQ_SOUL_STRB_EXPR	 
IT_EQ_SOUL_SOL_ATK_EXPR	 
IT_EQ_SOUL_SOL_MOVE_EXPR	 
IT_EQ_SOUL_SOL_MONS_EXPR	 
IT_EQ_SOUL_SOL_WATER_EXPR	 
IT_EQ_SOUL_CANO_LORD_CC_EXPR	 
IT_EQ_SOUL_WOR_TITAN_EXPR	
IT_EQ_SOUL_WOR_ARGOS_EXPR	 
IT_EQ_SOUL_WOR_GOLIATH_EXPR	 
IT_EQ_SOUL_WOR_ATLAS_EXPR	 
IT_EQ_SOUL_WOR_MUSPELL_EXPR	 
IT_EQ_SOUL_WOR_GIGANTES_EXPR	 
IT_EQ_SOUL_RAP_EXPR	 
IT_EQ_SOUL_ZIN_ONM_EXPR	 
IT_EQ_SOUL_LUCR_WED_EXPR	 
IT_EQ_SOUL_YOMI_KAM_EXPR	 
IT_EQ_SOUL_WED_FIRE_EXPR	 
IT_EQ_SOUL_WED_SHINE_EXPR	 
IT_EQ_SOUL_LNC_TINATSU_EXPR	 
IT_EQ_SOUL_LNC_THUNDER_EXPR	 
IT_EQ_SOUL_LNC_WIND_EXPR	 
IT_EQ_SOUL_MAD_ATK_EXPR	 
IT_EQ_SOUL_MAD_MDEF_EXPR	 
IT_EQ_SOUL_MAD_DBUFF_EXPR	 
IT_EQ_SOUL_VAL_LAN_JUMP_EXPR	 
IT_EQ_SOUL_VAL_DEF_EXPR	 
IT_EQ_SOUL_BAR_HEAL_EXPR	 
IT_EQ_SOUL_BAR_MDEF_EXPR	 
IT_EQ_SOUL_BAR_DARK_EXPR	 
IT_EQ_SOUL_KAI_ALWIDA_EXPR	 
IT_EQ_SOUL_KAI_TEACH_EXPR	 
IT_EQ_SOUL_ZAYIN_LORD_CC_EXPR	 
IT_EQ_SOUL_GUIL_TEM_EXPR	 
IT_EQ_SOUL_HISHARMU_HUU_EXPR	 
IT_EQ_SOUL_DORO_NEC_CC_EXPR	 
IT_EQ_SOUL_NEC_FIRE_EXPR	 
IT_EQ_SOUL_NEC_WATER_EXPR	 
IT_EQ_SOUL_NEC_WIND_EXPR	 
IT_EQ_SOUL_NEC_THUNDER_EXPR	 
IT_EQ_SOUL_NEC_SHINE_EXPR	 
IT_EQ_SOUL_NEC_DARK_EXPR	 
IT_PI_LOGI_EXPR	An item required for Limit Breaks
IT_PI_DIOS_EXPR	An item required for Limit Breaks
IT_PI_EDGAR_EXPR	An item required for Limit Breaks
IT_PI_LIESBET_EXPR	An item required for Limit Breaks
IT_PI_TINA_EXPR	An item required for Limit Breaks
IT_PI_SABALETA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_TYRHUNG_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_LAEVATEINN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_VARGAS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SELENA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ALAIA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_RINN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ALEXIS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_RIGARUTO_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_GAIN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_POLLIN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_LUCIDO_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_RETZIUS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_CIEL_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_RUNBELL_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_GATH_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MELIA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_GAYN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ANJOU_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MEILY_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ALFRED_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ISHUNA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_JAKE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_RICHE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ELAINE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MIZUCHI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_KAZAHAYA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_VANEKIS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_AMIS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DECEL_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_YUAN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ANNEROSE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_AYLLU_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ARKILL_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SARAUZU_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MICHAEL_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ENNIS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_RION_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ALMILA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_PATTI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_KUON_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MIANNU_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_HAZUKI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SUTORIE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_CHIHAYA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_CELINE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DILGA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FREED_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MARE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ZANGETSU_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MERDA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_LAMIA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ROFIA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_REGEN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_LUCIA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_RAHU_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MEGISTOS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_CHALICE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_VETTEL_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_EVE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MAGNUS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ELIZABETH_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FLAMEL_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_YOMI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_BALT_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MIELIKKI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_CLOE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FRAISE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ANASTASIA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ZAHAR_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ROSA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ALBELL_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_HAYATE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_VELOZ_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_LUCRETIA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SUZUKA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_CANON_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_CADANOVA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FUNGLIU_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_RYLE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SHAYNA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_REIMEI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SOLEIL_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MILIS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SHENMEI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_TAMAMO_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_KURAJU_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_KAGURA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_KUDHANSTEIN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FENCER_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_REAPER_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SHERMAN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SEK_CLOE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_GORMALAS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SHEHERAZADE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SEIDA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MONZEIN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SPICA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_VINCENT_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DENEB_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_GLANZ_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_PERIDOT_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_LUPINUS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_VICTOR_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ZAYIN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_YAULAS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ARUBA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_CHIRURU_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ZEKE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SHEKINAH_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SITA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MASAMUNE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_TEONA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_RAMESES_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DOROTHEA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_REIDA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ASUWADO_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SOPHIA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_KYARORU_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_OTHIMA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SABER_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ARCHER_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FATE_ZAHAR_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_TOSAKA_RINN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_IRIYA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FATE_YOMI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FATE_LAMIA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_GILGAMESH_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ERURIKE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_EIZAN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_THILLIE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SETSUNA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_HAZEL_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MIKOTO_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MARGARET_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_RENA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MIUNA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_S_SAKURA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FOLCAS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MEIFAN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_VIVI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_S_YOMI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_BASYOSEN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_YUTO_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_BASINI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_NEICA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_YUNAGI_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_MARIANNU_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DIS_KILLIA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DIS_SERAPHINA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DIS_REDMAGNUS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DIS_RINN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DIS_USALIA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_CHAO_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DAISY_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_NASARIO_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_LAVINA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_SUIRAN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_BLANCHETT_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DIS_LAHAR_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DIS_ETONA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DIS_PRINNY_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DIS_ALMILA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_DIS_ROSA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_LIZARD_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ZIN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_NOAH_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_ZOPHIE_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_OLGA_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_CHATNOIR_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_JUSTIN_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FF15_NOCTIS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FF15_IGNIS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
IT_PI_FF15_GLADIOLUS_EXPR	Required for Limit Breaks. If you collect enough Soul Shards, you can also transmute the corresponding unit.
