IT_US_FATE_TAIYAKI_EXPR	3回合內，帶有加速效果
IT_EQ_MARE_RABBIT_EXPR	梅雅固有職業【賢者+】的裝備　◆魔防+16、速度+4、靈巧+20、最大魔力+20、睡眠耐性+7
IT_EQ_MARE_RABBIT_FLAVOR	梅雅用幻術製作的靈體兔子。通過召喚小動物來玩家庭遊戲，打消自己的寂寞。有人敢指責這些召喚物的話，她一定會不高興。
IT_EQ_MARE_BROOCH_EXPR	梅雅固有職業【賢者+】的裝備　◆速度+4、會心+9、魔攻+20、麻痺耐性+7、暈眩耐性+7
IT_EQ_MARE_BROOCH_FLAVOR	梅雅的十字型胸章。平時是被連衣裙包著看不到，但是她一定會戴著。其實是她父母的遺物，本來是想等她更大些再給的。
IT_EQ_VAL_WING_EXPR	【武神專用裝備】　◆HP+40、物攻+18、物防+10、魔防+15、速度+3、暗耐性+2、奪魂耐性+8、睡眠耐性+8、鈍足耐性+8
IT_EQ_VAL_WING_FLAVOR	武神專用的神氣護額。普通的攻擊無法打碎它。戴著它就更思念同伴，也能提升防禦和抗性。
IT_EQ_ANAS_BLADE_EXPR	安娜塔西亞固有職業【上級暗騎+】的裝備　◆物攻+28、魔攻+16、會心+12、靈巧+18、光耐性+1、奪魂耐性+8、睡眠耐性+8、鈍足耐性+8
IT_EQ_ANAS_BLADE_FLAVOR	為被稱為拉斯特里斯秘密兵器的安娜塔西亞所準備的大劍。只有安娜塔西亞才能發揮實力的武器。
IT_EQ_ANAS_GANTLET_EXPR	安娜塔西亞固有職業【上級暗騎+】的裝備　◆物攻+14、靈巧+10、會心+15、運+12、火耐性+2
IT_EQ_ANAS_GANTLET_FLAVOR	安娜塔西亞根據自身的尺寸所設計的護手。設計精巧，幾乎沒有劃痕。不但很好的保護了手腕，還能提升運氣和抗性。
IT_EQ_ANAS_BARRETTA_EXPR	安娜塔西亞固有職業【上級暗騎+】的裝備　◆HP+32、物防+14、會心+10、獲得魔力+3、水耐性+1
IT_EQ_ANAS_BARRETTA_FLAVOR	安娜塔西亞頭上的彩色髮飾。以象徵薔薇的她為主題設計的，主要具備了肉體上的功能。還可以根據季節調整粗細。
IT_EQ_ANAS_MAIL_EXPR	安娜塔西亞固有職業【上級暗騎+】的裝備　◆HP+50、物防+10、魔防+12、暗耐性+1、毒耐性+7
IT_EQ_ANAS_MAIL_FLAVOR	她所信賴的裁縫店為了她專門設計的裙子。為了讓她能夠作為一名純粹的女性予以保護。
IT_EQ_ANAS_BOOTS_EXPR	安娜塔西亞固有職業【上級暗騎+】的裝備　◆物防+10、速度+6、石化耐性+7、麻痺耐性+7、睡眠耐性+7
IT_EQ_ANAS_BOOTS_FLAVOR	安娜塔西亞在戰場上穿著的皮靴。穿著這雙靴子所發出的聲音，讓敵人都感到絕望的恐懼。
IT_EQ_ANAS_BLOSSOM_EXPR	安娜塔西亞固有職業【上級暗騎+】的裝備　◆物攻+9、魔防+12、速度+10、風耐性+1、奪魂耐性+7
IT_EQ_ANAS_BLOSSOM_FLAVOR	為了讓拉斯特里斯的士兵在戰場上不要誤認安娜塔西亞，她專門穿了這件衣服。看到的敵兵自然也知道是她，可惜逃不了。
IT_EQ_NEC_STORNE_EXPR	【死靈法師專用裝備】　◆物攻+15、HP+30、魔力+10、暗耐性+2、減益耐性+7、奪魂耐性+8、睡眠耐性+8、鈍足耐性+8
IT_EQ_NEC_STORNE_FLAVOR	眾多死靈沉睡在里面的石墳。根據死靈使者的召喚，會發揮各種力量。死靈使者死後就被石墳吸入，今後再為他人所用。
IT_EQ_OTHI_ARMOR_EXPR	歐提瑪固有職業【幻影法師】的裝備　◆HP+15、物防+9、魔攻+18、魔防+15、奪魂耐性+7、石化耐性+8、停止耐性+8、沉默耐性+8
IT_EQ_OTHI_ARMOR_FLAVOR	歐提瑪喜歡的外套。戰場上是好防具，休息時也是床好被子。經常使用所以有個別破損，但歐提瑪總是很細心的縫補。
IT_EQ_CANO_LOAD_EMBLEM_EXPR	卡農固有職業【光榮聖騎】的裝備　◆HP+5、魔攻+3、會心+5、暗耐性+2、獲得魔力+2
IT_EQ_CANO_LOAD_EMBLEM_FLAVOR	是聖教騎士團中最優秀的人才能佩帶的徽章。佩帶後就能昂首挺胸，勝任艱難任務的信心就更足了。
IT_EQ_CANO_LOAD_NECKLACE_EXPR	卡農固有職業【光榮聖騎】的裝備　◆HP+8、物攻+15、速度+2、靈巧+14、獲得魔力+5
IT_EQ_CANO_LOAD_NECKLACE_FLAVOR	卡農剛入親衛隊時收到的吊墜禮物。吊墜里蘊含著歷代領主騎士的力量，可以提升人們的速度和攻擊。
IT_EQ_CANO_LOAD_STATUE_EXPR	卡農固有職業【光榮聖騎】的裝備　◆HP+25、物攻+23、物防+10、魔攻+10、速度+5、奪魂耐性+15、睡眠耐性+8、鈍足耐性+8
IT_EQ_CANO_LOAD_STATUE_FLAVOR	在聖教騎士團的訓練中，取得優異成績的才能獲得的戰鬥少女像。即使是隊長，如果沒有好成績也無法得到，得到者會非常自信。
IT_EQ_MICH_STAFF_EXPR	米哈爾固有職業【教授+】的裝備　◆魔攻+24、物攻+16、會心+9、暗耐性+2、光耐性+2、石化耐性+8、停止耐性+8、沉默耐性+8
IT_EQ_MICH_STAFF_FLAVOR	只有偉大的魔道士才能裝備的杖。樹齡超過了百年，鍊金濃度特別高，會選擇可以裝備自己的人。只有達成了豐功偉績的米哈爾才能裝備。
IT_EQ_MICH_GLASSES_EXPR	米哈爾固有職業【教授+】的裝備　　◆靈巧+16、運+24、物防+30、物攻+16、黑暗耐性+11
IT_EQ_MICH_GLASSES_FLAVOR	米哈爾日常所佩戴的眼鏡。為了看清魔道的鍊金濃度所必須的特殊眼鏡，但是看上去就跟老花鏡沒區別。
IT_EQ_MICH_HAT_EXPR	米哈爾固有職業【教授+】的裝備　◆HP+32、魔攻+12、麻痺耐性+11、暈眩耐性+11、毒耐性+11
IT_EQ_MICH_HAT_FLAVOR	只有偉大的魔道士才能裝備的魔法帽。日常使用也很方便，還能抵抗各種異常狀態，米哈爾總是穿著它。
IT_EQ_MICH_CLOAK_EXPR	米哈爾固有職業【教授+】的裝備　◆物防+20、HP+42、魔防+18、靈巧+12、麻痺耐性+11
IT_EQ_MICH_CLOAK_FLAVOR	米哈爾達成偉大的功績時陛下所獎賞的。穿上後，即使在女尊男卑的路斯特布魯格也備受矚目。
IT_EQ_MICH_BOOK_EXPR	米哈爾固有職業【教授+】的裝備　◆魔攻+12、魔防+18、靈巧+12、火耐性+2、石化耐性+11
IT_EQ_MICH_BOOK_FLAVOR	米哈爾獨自研究而開發出的魔導書。記載著許多只有米哈爾能操控的魔法，平時不離身的帶著。米哈爾之外的人連書都打不開。
IT_EQ_MICH_RING_EXPR	米哈爾固有職業【教授+】的裝備　◆速度+2、運+12、水耐性+2、奪魂耐性+11、睡眠耐性+11
IT_EQ_MICH_RING_FLAVOR	米哈爾和水之精靈契約後，作為其證明一直帶在身上。帶著這個耳環，就能引導出水之精靈，給與他許多幫助。
IT_EQ_BALT_TWIN_SWORD_EXPR	巴爾特固有職業【雙劍士+】的裝備　◆物攻+20、速度+3、會心+16、HP+36、魔力+6、奪魂耐性+8、睡眠耐性+8、鈍足耐性+8
IT_EQ_BALT_TWIN_SWORD_FLAVOR	以“烈風的巴爾特”冠名的雙劍。由於巨大的刀刃以及巴爾特的腕力、揮舞起來就好像真的被烈風吹動一樣。是為巴爾特量身打造的，能提升攻擊力。
IT_EQ_BALT_BOOTS_EXPR	巴爾特固有職業“雙劍士+”的裝備 ◆速度+3、物防+18、會心+12、物攻+16、風耐性+2
IT_EQ_BALT_BOOTS_FLAVOR	即使在沙漠中也能迅速行走的靴子。不但是機動性，設計的也很好，即使在沙塵暴中也能認出是巴爾特。堅固機動性和防禦，是很好的職業裝。
IT_EQ_BALT_BOTTOM_EXPR	巴爾特固有職業【雙劍士+】的裝備 ◆HP+36、魔防+24、靈巧+20、水耐性+2、石化耐性+7
IT_EQ_BALT_BOTTOM_FLAVOR	傳統的編織方式所製成的下衣。是沙漠住民以及遊牧民族所喜愛的紡織品。不單是衣服，還能作為草席等使用。保護身體不受熱量和沙子侵襲，還能提升體力。
IT_EQ_BALT_JACKET_EXPR	巴爾特固有職業【雙劍士+】的裝備 ◆HP+36、物防+18、魔攻+16、火耐性+2、毒耐性+7
IT_EQ_BALT_JACKET_FLAVOR	傳統的編織方式所製成的斗篷和夾克。在沙漠中很好的保護肌膚不受強光和乾燥影響。穿著的人不同樣式也不同，還能從裝飾的聲音判斷出是誰。
IT_EQ_BALT_BANDANA_EXPR	巴爾特固有職業【雙劍士+】的裝備 ◆靈巧+12、會心+14、物攻+10、運+12、麻痹耐性+7
IT_EQ_BALT_BANDANA_FLAVOR	用著名的乾燥地帶生長的花朵所染色的大手帕。被這種花所染色的道具可以不受沙漠蟲害的影響。沙漠住民人手一個。
IT_EQ_BALT_MEDALLION_EXPR	巴爾特固有職業【雙劍士+】的裝備 ◆速度+3、運+6、暈眩耐性+7、睡眠耐性+7、奪魂耐性+7
IT_EQ_BALT_MEDALLION_FLAVOR	使用了以老鷹為主題設計的徽章的飾品。沙漠之鷹的成員傳說都會戴著這個徽章。由於和夥伴間的羈絆，具有多種的耐性。
IT_EQ_CHIH_OGI_EXPR	千早固有職業【舞者+】的裝備　◆物攻+20、速度+6、靈巧+10、會心+18、魔防+12、獲得魔力+3、麻痺耐性+8、攻擊禁止耐性+8、移動禁止耐性+8
IT_EQ_CHIH_OGI_FLAVOR	千早在跳舞時所使用的扇子。舞蹈模仿了綿津見的神明們的戰鬥姿態，如果隨意阻擾舞蹈的話，就會被扇子打擊受到傷害。把手的鈴鐺，有著非常美的音色。
IT_EQ_CHIH_DRESS_EXPR	千早固有職業【舞者+】的裝備 ◆物防+12、HP+32、魔防+12、石化耐性+7、火耐性+2
IT_EQ_CHIH_DRESS_FLAVOR	在祭神或者重要戰鬥時千早所穿著的衣服。有緩和對肉體衝擊的能力，穿著它還能增加集中力。是綿津見少有的，稀罕的服裝。
IT_EQ_CHIH_ACCESSORY_EXPR	千早固有職業“舞者+”的裝備 ◆魔防+12、物防+12、HP+24、物攻+1、暗耐性+2
IT_EQ_CHIH_ACCESSORY_FLAVOR	千早很喜愛的發飾。精良的製作工藝，戴在頭上心情愉悅，無論在任何場所都不會產生妨礙。還得到了神明的加護，對暗的耐性會提升。
IT_EQ_CHIH_GETA_EXPR	千早固有職業【舞者+】的裝備 ◆速度+7、HP+24、麻痹耐性+7、暈眩耐性+7、水耐性+2
IT_EQ_CHIH_GETA_FLAVOR	千早喜愛的木屐。為千早量身打造的木屐，就好像浮在地面上行走一樣。具有對水的耐性，下雨天走出去也沒問題。
IT_EQ_CHIH_MARI_EXPR	千早固有職業【舞者+】的裝備 ◆靈巧+20、會心+16、睡眠耐性+7、光耐性+2、毒耐性+7
IT_EQ_CHIH_MARI_FLAVOR	在供奉神明的蹴鞠時所使用的球。平時由千早用心保管著，很難看的到。她作為持有者，為了把球踢的更高更好看，在秘密練習著。
IT_EQ_CHIH_HAIRPIN_EXPR	千早固有職業【舞者+】的裝備 ◆運+12、物攻+20、速度+6、奪魂耐性+7、風耐性+2
IT_EQ_CHIH_HAIRPIN_FLAVOR	非常厲害的職業鐵匠為千早打造的簪子。作為設計主體的金木犀有著“高尚”的花語。千早平時謙遜自己並沒有那麼高雅，小心翼翼的把簪子作為自己的珍藏。
IT_EQ_KAM_MAGATAMA_EXPR	【神子專用裝備】◆HP+34、魔防+18、運+36、魔力+15、暗耐性+2、獲得魔力+2、麻痺耐性+8、攻擊禁止耐性+8、移動禁止耐性+8
IT_EQ_KAM_MAGATAMA_FLAVOR	神子為了和神明更方便的交流而佩戴的首飾。首飾上有著含有不少鍊金能量的勾玉，修煉不足的人甚至無法佩戴。據說串聯勾玉的紐扣還能彰顯自己的個性。
IT_EQ_KAGU2_PEARL_EXPR	神樂固有職業【灼珠姬+】的裝備　◆魔攻+50、物攻+16、水耐性+5、石化耐性+20、睡眠耐性+7、停止耐性+10、沉默耐性+10
IT_EQ_KAGU2_PEARL_FLAVOR	神樂所操縱的火焰寶珠。一個個強大的鍊金能量包含在里面，成長的神樂使用它的時候，可以發揮強大的魔力。戰鬥時會變得很燙，隨便碰觸是會燙傷的。
IT_EQ_KAGU2_DRESS_EXPR	神樂固有職業【灼珠姬+】的裝備　◆魔防+12 物防+12 速度+3 運+5 黑暗耐性+7
IT_EQ_KAGU2_DRESS_FLAVOR	配合神樂急速成長的身體而製作的衣服。根據神樂的意願，設計時兼顧了動作的輕便和外觀的美麗。不論是物理、魔力，還能從各種攻擊下保護她。
IT_EQ_KAGU2_SLEEVE_EXPR	神樂固有職業【灼珠姬+】的裝備　◆魔攻+16 運+12 會心+9 火耐性+2 沉默耐性+7
IT_EQ_KAGU2_SLEEVE_FLAVOR	連手腕都能覆蓋住的護臂。富有伸縮性，即使戰鬥激烈也不會掉下來。用蘊含很高魔力的純白的布製成的，據說可以抵禦襲向神樂的災厄。
IT_EQ_KAGU2_SHOES_EXPR	神樂固有職業【灼珠姬+】的裝備　◆速度+4 靈巧+10 會心+14 光耐性+1 麻痹耐性+7
IT_EQ_KAGU2_SHOES_FLAVOR	長度到膝蓋的襪子和木屐。兩個加起來是一個套裝，蘊含著驅邪避災的能力。因為太長了，小時候的神樂無法裝備，但是長大後就驚人的匹配。
IT_EQ_KAGU2_BELL_EXPR	神樂固有職業【灼珠姬+】的裝備　◆HP+8 靈巧+12 速度+3 風耐性+1 暈眩耐性+7
IT_EQ_KAGU2_BELL_FLAVOR	把神樂的衣服束緊在一起的束帶。和操縱火焰的神樂所相適的，深紅的顏色映照在衣服上。束帶端頭系著的鈴鐺只是裝飾品。穿著它身體就會變得緊湊而輕便。
IT_EQ_KAGU2_COMB_EXPR	神樂固有職業【灼珠姬+】的裝備　◆HP+6 物防+12 運+7 魔力+10 暗耐性+2
IT_EQ_KAGU2_COMB_FLAVOR	把神樂的長頭髮盤起來的發飾。是由數百年樹齡的靈樹枝幹製成的，可以給裝備者許多加護。也許是因為對暗的耐性，神樂戴著它就會覺得安心。
IT_EQ_LOGI_SWORD_EXPR	洛基固有職業【上級聖騎+】的裝備　◆物攻+40、魔攻+20、會心+26、速度+3、石化耐性+7、奪魂耐性+8、睡眠耐性+8、鈍足耐性+8
IT_EQ_LOGI_SWORD_FLAVOR	洛基加入蒼炎騎士團的時候，吉克作為賀禮而贈送的劍。第一次收到自己的劍的那天晚上，洛基興奮的睡不著。劍刃是映照出洛基直爽內心的白銀色。
IT_EQ_LOGI_ARMOR_EXPR	洛基固有職業【上級聖騎+】的裝備　◆HP+40、物防+20、魔防+12、奪魂耐性+7、毒耐性+5
IT_EQ_LOGI_ARMOR_FLAVOR	洛基加入蒼炎騎士團的時候被賦予的鎧甲。雖然有多種顏色可以選擇，但是洛基就選擇了象徵著純潔無暇的白色。每晚都會把鎧甲擦的亮晶晶的。
IT_EQ_LOGI_BOOTS_EXPR	洛基固有職業【上級聖騎+】的裝備　◆HP+36、速度+3、靈巧+28、運+21、暈眩耐性+7
IT_EQ_LOGI_BOOTS_FLAVOR	洛基加入蒼炎騎士團的時候被賦予的靴子。為了和其他武具的顏色搭配，每次行軍時污垢都很明顯。但是把它給擦亮就是洛基的成就感。
IT_EQ_LOGI_GAUNTLET_EXPR	洛基固有職業【上級聖騎+】的裝備　◆魔攻+12、HP+32、靈巧+28、會心+26、麻痺耐性+7
IT_EQ_LOGI_GAUNTLET_FLAVOR	洛基加入蒼炎騎士團的時候被賦予的護臂。即使是強烈的攻擊下也能保護手臂，是洛基不可或缺的夥伴。由於很重視保養，大大小小的傷痕也不會顯眼。
IT_EQ_LOGI_SHIELD_EXPR	洛基固有職業【上級聖騎+】的裝備　◆物防+24、魔防+12、運+21、睡眠耐性+7、雷耐性+1
IT_EQ_LOGI_SHIELD_FLAVOR	就像洛基發色那樣的紅色盾牌。切入敵陣時，有這個盾在就不會害怕。過於自信的結果，沒有少被迪歐斯和阿加莎責備，但這也是克勞利家族令人欣慰的一點。
IT_EQ_LOGI_EMBLEM_EXPR	洛基固有職業【上級聖騎+】的裝備　◆光耐性+1、暗耐性+1、火耐性+1、水耐性+1、風耐性+1
IT_EQ_LOGI_EMBLEM_FLAVOR	是模範洛基紅色盾的徽章。作為蒼炎騎士團的一員活動的時候有義務佩帶這個徽章，這樣才可以分辨敵我。同時也是騎士的象徵。
IT_EQ_EDGA_GUN_EXPR	艾德加固有職業【旅人+】的裝備　◆物攻+20、靈巧+24、會心+26、速度+2、雷耐性+1、麻痺耐性+8、攻擊禁止耐性+8、移動禁止耐性+8
IT_EQ_EDGA_GUN_FLAVOR	艾德加喜愛的斯洛烏斯製作的左輪手槍。還取了個昵稱叫貝蒂，每天都不忘保養它。有一定年限了卻從沒有出現故障，這就是艾德加愛護的結果。
IT_EQ_EDGA_JACKET_EXPR	艾德加固有職業【旅人+】的裝備　◆HP+38、物防+12、魔防+12、毒耐性+7、火耐性+2
IT_EQ_EDGA_JACKET_FLAVOR	從斯洛烏斯修泰各地都能入手的，厚厚的夾克。雖然價格便宜但是很牢固，艾德加在行動時必然會穿著它。把夾克領子豎起來後，就會給人感覺很時髦。
IT_EQ_EDGA_BOOTS_EXPR	艾德加固有職業【旅人+】的裝備　◆速度+2、會心+14、靈巧+24、運+18、暈眩耐性+7
IT_EQ_EDGA_BOOTS_FLAVOR	從斯洛烏斯修泰各地都能買到的，普通的長靴。對於要奔赴危險場所的艾德加來說，為了不受多餘的傷，就必須有這種可以保護腿部的長靴。
IT_EQ_EDGA_SCARF_EXPR	艾德加固有職業【旅人+】的裝備　◆HP+22、物攻+20、運+18、速度+2、麻痺耐性+7
IT_EQ_EDGA_SCARF_FLAVOR	為艾德加增添色彩的花哨圍巾。由於全身都是皮革服飾顯得過於樸素，其實還是有一些顏色搭配的。比如這個紫色的圍巾就是其一。
IT_EQ_EDGA_HOLSTER_EXPR	艾德加固有職業【旅人+】的裝備　◆物防+8、魔防+20、靈巧+22、睡眠耐性+7、石化耐性+7
IT_EQ_EDGA_HOLSTER_FLAVOR	從斯洛烏斯修泰各地都能看到的，一般的皮革槍套。但是對艾德加來說卻是重要的工作道具，不帶在身上反而覺得無法冷靜。
IT_EQ_EDGA_ROSE_EXPR	艾德加固有職業【旅人+】的裝備　◆運+12、會心+10、魔攻+20、暗耐性+2、奪魂耐性+11
IT_EQ_EDGA_ROSE_FLAVOR	艾德加送給女生禮物時經常選擇的紅色玫瑰。關於第一個送玫瑰的女性，他絕不透露半句，似乎是個有名的舞者。
IT_EQ_RAHU_POT_EXPR	拉芙固有職業【奇術師+】的裝備　◆魔攻+16、物攻+16、速度+4、暗耐性+2、黑暗耐性+7、石化耐性+8、停止耐性+8、沉默耐性+8
IT_EQ_RAHU_POT_FLAVOR	一直裝飾在拉芙頭髮上的可愛的壺形發簪。包裹著她丸子般的髮型，緊緊的扣在頭髮上。拉芙發怒時，據說從壺口還會噴出熱氣…。
IT_EQ_RAHU_SCARF_EXPR	拉芙固有職業【奇術師+】的裝備　◆魔防+20、速度+3、靈巧+10、光耐性+2、睡眠耐性+7
IT_EQ_RAHU_SCARF_FLAVOR	為了保護身體不受沙塵侵襲，拉芙經常佩戴的圍巾。卷起來的時候就像口罩那樣大小，但是打開後就很大。在寒冷的夜晚有時還可以當成毛毯使用。
IT_EQ_RAHU_CLOTHES_EXPR	拉芙固有職業【奇術師+】的裝備　◆HP+30、物防+12、靈巧+9、風耐性+2、奪魂耐性+7
IT_EQ_RAHU_CLOTHES_FLAVOR	拉芙用自身的魔力縫製的原創連衣裙。但是在魔法地毯上用了不少布料，導致前襟的布料特別少。
IT_EQ_RAHU_BOOT_EXPR	拉芙固有職業【奇術師+】的裝備　◆速度+4、幸運+12、靈巧+12、暈眩耐性+7、石化耐性+7
IT_EQ_RAHU_BOOT_FLAVOR	漂亮的裝飾了拉芙腳的低跟鞋。是在沙漠地區特有的削尖形狀的鞋子，腳趾位置還有柔軟的裝飾品。腳鐲和鞋跟是一對的設計，讓拉芙非常喜歡。
IT_EQ_RAHU_CARPET_EXPR	拉芙固有職業【奇術師+】的裝備　◆物防+16、速度+4、HP+15、魔防+12、幸運+12
IT_EQ_RAHU_CARPET_FLAVOR	拉芙手制的飛天絨毯。但是由於是裝卸式的所以就當做裙子一樣隨身攜帶。但是飛上天空的話，拉芙的能力似乎還不足，想要小步快跑似乎還早了些。
IT_EQ_RAHU_LAMP_EXPR	拉芙固有職業【奇術師+】的裝備　◆魔攻+16、幸運+12、麻痹耐性+7、睡眠耐性+7、石化耐性+7
IT_EQ_RAHU_LAMP_FLAVOR	拉芙非常信賴的，經常待在身邊的夥伴。名為“神燈”。在拉芙作為見習時一直陪在身邊的前輩。周圍的人無法聽懂神燈的語言，但是拉芙就可以。
IT_EQ_POLL_STAFF_EXPR	珀琳固有職業【吟游詩人+】的裝備　◆魔攻+12、物攻+10、魔力獲得+3、毒耐性+7、火耐性+2、麻痺耐性+8、攻擊禁止耐性+8、移動禁止耐性+8
IT_EQ_POLL_STAFF_FLAVOR	珀琳一直拿在手上的魔法手杖。在使用魔法改良花卉品種的時候，必須用這個手杖才能做的好。手杖上的緞帶珀琳會看自己的心情而更換。
IT_EQ_POLL_HEADDRESS_EXPR	珀琳固有職業【吟游詩人+】的裝備　◆魔攻+16、物防+12、HP+30、風耐性+1、石化耐性+7
IT_EQ_POLL_HEADDRESS_FLAVOR	珀琳從朋友那邊收到的頭飾。因為珀琳喜歡花，所以頭飾上有精巧美麗的花飾。對於想在寒冷的路斯特布魯格里養花的她來說是最合適的了。
IT_EQ_POLL_CAPE_EXPR	珀琳固有職業【吟游詩人+】的裝備　◆HP+24、魔防+30、物防+16、幸運+12、火耐性+1
IT_EQ_POLL_CAPE_FLAVOR	為了保溫抵禦寒冷嵌入了相應的魔法所製成的披肩。是她的朋友們為了在寒冷地區也要努力養花的她而贈送的禮物。
IT_EQ_POLL_BOOT_EXPR	珀琳固有職業【吟游詩人+】的裝備　◆速度+3、靈巧+18、幸運+9、水耐性+1、麻痺耐性+7
IT_EQ_POLL_BOOT_FLAVOR	是用柔軟溫暖的羊絨和緞帶所製成的防寒用靴子。看一眼就會喜歡的，在冰雪天氣時還能有力移動的好東西。珀琳是令人意外的實用主義。
IT_EQ_POLL_CORSAGE_EXPR	珀琳固有職業【吟游詩人+】的裝備　◆物攻+12、速度+4、靈巧+24、會心+24、睡眠耐性+7
IT_EQ_POLL_CORSAGE_FLAVOR	珀琳在生日時得到的魔法胸花。粉紅色的玫瑰配上魔力而不會枯竭，又是她喜愛的顏色，所以珀琳沒有帶在身上而是用心的收藏著。
IT_EQ_POLL_FLOWER_EXPR	珀琳固有職業【吟游詩人+】的裝備　◆物攻+18、靈巧+12、會心+12、暈眩耐性+7、奪魂耐性+9
IT_EQ_POLL_FLOWER_FLAVOR	最喜歡的粉紅色玫瑰風格的項鏈。其實是手工製作的，珀琳第一次佩帶的玫瑰飾品。本人雖然有些笨拙，但是單純也是種可愛。
IT_EQ_ONM_SOUBI_EXPR	【隱密專用裝備】　◆物攻+24、靈巧+24、速度+4、會心+8、停止耐性+7、麻痺耐性+8、攻擊禁止耐性+8、移動禁止耐性+8
IT_EQ_ONM_SOUBI_FLAVOR	只有隱密在行動中陷入危機的時候才可以使用的秘密卷軸。因為被惡鬼緊緊咬住，沒有力量的人甚至都無法打開。
IT_EQ_WEA_SOUBI_EXPR	【天候師專用裝備】　◆魔攻+16、魔防+20、速度+2、運+16、水耐性+2、石化耐性+8、停止耐性+8、沉默耐性+8
IT_EQ_WEA_SOUBI_FLAVOR	是可以操控氣象的天候師專用的帽子。不管是晴·雨·風·雪等天氣都不能動其分毫，能保持裝備者頭部的清爽，有持續守護的效果。
IT_EQ_LUCA_TWIN_SWORD_EXPR	路西亞固有職業【拳聖+】的裝備　◆HP+40、物攻+36、魔攻+16、靈巧+12、會心+16、奪魂耐性+8、睡眠耐性+8、鈍足耐性+8
IT_EQ_LUCA_TWIN_SWORD_FLAVOR	刀刃上刻著鍊金粒子容易通過的花紋，是可以把使用者的力量和鍊金之力很好融合的彎刀。是路西亞自己定做的，適合自己重量和長度的傑作。
IT_EQ_LUCA_HOOD_EXPR	路西亞固有職業【拳聖+】的裝備　◆HP+40、物防+20、靈巧+30、運+12、奪魂耐性+7
IT_EQ_LUCA_HOOD_FLAVOR	為了防護沙漠的熱度以及沙塵的侵襲而多重纏繞製成的頭巾。為了不妨礙戰鬥只做了最低限度的裝飾和不起眼的顏色。金幣型的裝飾其實是布制的，這樣就不會造成響聲。
IT_EQ_LUCA_SCARF_EXPR	路西亞固有職業【拳聖+】的裝備　◆HP+36、魔防+12、速度+3、會心+16、暈眩耐性+7
IT_EQ_LUCA_SCARF_FLAVOR	由於路西亞孤傲的性格，故意選擇了惹眼的紫色圍巾。原本是想和頭巾一樣用不起眼的顏色，但是為了鞭策自己的戰鬥就用了高貴的紫色。
IT_EQ_LUCA_CLOTH_EXPR	路西亞固有職業【拳聖+】的裝備　◆HP+50、會心+16、靈巧+24、火耐性+3、水耐性+1
IT_EQ_LUCA_CLOTH_FLAVOR	路西亞的戰鬥服或工作服。乍一看好像是沙漠地區的民族服裝，但是戰鬥中很輕便，也能耐寒耐熱。腰布刻意做成和圍巾一樣的紫色。
IT_EQ_LUCA_PANTS_EXPR	路西亞固有職業【拳聖+】的裝備　◆物攻+24　物防+16　速度+3 風耐性+1　獲得魔力+1
IT_EQ_LUCA_PANTS_FLAVOR	路西亞絕不離身的項鏈，同時也是附身符。是決定作為傭兵時製作的，和背後的鍊金線是相同的形狀。這是路西亞作為傭兵的標識。
IT_EQ_LUCA_SWORDS_EXPR	路西亞固有職業【拳聖+】的裝備　◆暈眩耐性+7，麻痹耐性+7，睡眠耐性+7，石化耐性+7，毒耐性+7
IT_EQ_LUCA_SWORDS_FLAVOR	由於鍊金的力量，路西亞可以自由投擲的匕首。實際上應該有多把匕首，但是實際數量只有她自己知道。對死角也只要丟出匕首就能保護自己。
IT_EQ_KUDH_LAN2_01_EXPR	庫達固有職業【魔槍騎士+】的裝備　◆HP+38、物攻+24、靈巧+24、運+24、獲得魔力+10、奪魂耐性+8、睡眠耐性+8、鈍足耐性+8
IT_EQ_KUDH_LAN2_01_FLAVOR	庫達恩修坦喜愛的槍被黑暗靈氣浸染後的產物。在浸染之前，是他常年定做使用的，其他人用起來無法發揮真正的力量。
IT_EQ_KUDH_LAN2_02_EXPR	庫達固有職業【魔槍騎士+】的裝備　◆HP+42、物防+12、魔防+30、風耐性+2、暈眩耐性+7
IT_EQ_KUDH_LAN2_02_FLAVOR	庫達恩修坦喜愛的騎士服被黑暗靈氣浸染後的產物。甲胄部分比較少，為了讓行動更方便。配上黑暗靈力後，即使甲胄部分少，也能輕易防禦。
IT_EQ_KUDH_LAN2_03_EXPR	庫達固有職業【魔槍騎士+】的裝備　◆HP+28、物防+20、運+12、速度+3、麻痹耐性+7
IT_EQ_KUDH_LAN2_03_FLAVOR	庫達恩修坦喜愛的鎧甲被黑暗靈氣浸染後的產物。裝飾腳部，為了讓行動更便捷的甲胄，被黑暗靈力浸染後就強化了防禦力和麻痹耐性。
IT_EQ_KUDH_LAN2_04_EXPR	庫達固有職業【魔槍騎士+】的裝備　◆物攻+18、靈巧+30、會心+30、水耐性+2、睡眠耐性+7
IT_EQ_KUDH_LAN2_04_FLAVOR	庫達恩修坦喜愛的護手被黑暗靈氣浸染後的產物。護手原本是為了能夠快速揮槍的，但是黑暗浸染後，不但提升了攻擊，還強化了各種耐性。
IT_EQ_KUDH_LAN2_05_EXPR	庫達固有職業【魔槍騎士+】的裝備　◆魔攻+24，速度+6，火耐性+2，光耐性+2，石化耐性+7
